# Generated by LORRAX unknown at 2026-07-21 06:19:27 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=45  sigX=   -4.889457              sigC=   -4.816542+-267.593540i  sigXC=   -9.705999+-267.593540i  VH=  293.321393+ -0.000458i  Eo=    6.274230
n=46  sigX=   -5.721784              sigC=   -5.102586+6898.728356i  sigXC=  -10.824370+6898.728356i  VH=  365.128462+ -0.002960i  Eo=    6.755121
n=47  sigX=   -5.721784              sigC=   -5.102586+6898.728356i  sigXC=  -10.824370+6898.728356i  VH=  365.128462+ -0.002960i  Eo=    6.755122
n=48  sigX=   -5.941955              sigC=   -4.971383+-9934.134445i  sigXC=  -10.913338+-9934.134445i  VH=  307.974751+ -0.001561i  Eo=    7.214026
n=49  sigX=   -5.941955              sigC=   -4.971383+-9934.134445i  sigXC=  -10.913338+-9934.134445i  VH=  307.974751+ -0.001561i  Eo=    7.214026
n=50  sigX=   -5.219034              sigC=   -4.821644+2112.323834i  sigXC=  -10.040678+2112.323834i  VH=  336.319501+  0.000529i  Eo=    7.784806
n=51  sigX=   -5.219034              sigC=   -4.821644+2112.323834i  sigXC=  -10.040678+2112.323834i  VH=  336.319501+  0.000529i  Eo=    7.784806
n=52  sigX=   -4.874995              sigC=   -4.814127+-9501.119068i  sigXC=   -9.689122+-9501.119068i  VH=  305.329540+  0.001408i  Eo=    9.124082
n=53  sigX=   -4.874995              sigC=   -4.814127+-9501.119068i  sigXC=   -9.689122+-9501.119068i  VH=  305.329540+  0.001408i  Eo=    9.124082
n=54  sigX=   -5.733306              sigC=   -4.913075+2557.077397i  sigXC=  -10.646381+2557.077397i  VH=  346.283615+  0.002908i  Eo=    9.888660
n=55  sigX=   -5.733306              sigC=   -4.913075+2557.077397i  sigXC=  -10.646381+2557.077397i  VH=  346.283615+  0.002908i  Eo=    9.888660
n=56  sigX=   -4.812252              sigC=   -4.340986+138.252193i  sigXC=   -9.153237+138.252193i  VH=  286.702886+  0.000471i  Eo=   10.280456
n=57  sigX=   -4.812252              sigC=   -4.340986+138.252193i  sigXC=   -9.153237+138.252193i  VH=  286.702886+  0.000471i  Eo=   10.280457
n=58  sigX=   -5.460867              sigC=   -4.898668+-5726.446650i  sigXC=  -10.359535+-5726.446650i  VH=  329.904932+  0.000088i  Eo=   11.412539
n=59  sigX=   -5.460867              sigC=   -4.898668+-5726.446650i  sigXC=  -10.359535+-5726.446650i  VH=  329.904932+  0.000088i  Eo=   11.412539
n=60  sigX=   -2.441780              sigC=   -3.206611+3096.410216i  sigXC=   -5.648391+3096.410216i  VH=  205.982151+ -0.000429i  Eo=   12.579023
n=61  sigX=   -2.441780              sigC=   -3.206611+3096.410216i  sigXC=   -5.648391+3096.410216i  VH=  205.982151+ -0.000429i  Eo=   12.579023
n=62  sigX=   -3.293776              sigC=   -3.890881+-7022.016016i  sigXC=   -7.184657+-7022.016016i  VH=  318.602616+ -0.000441i  Eo=   13.626951
n=63  sigX=   -3.293776              sigC=   -3.890881+-7022.016016i  sigXC=   -7.184657+-7022.016016i  VH=  318.602616+ -0.000441i  Eo=   13.626951
n=64  sigX=   -1.630351              sigC=   -2.414467+-3356.879838i  sigXC=   -4.044818+-3356.879838i  VH=  108.862922+  0.000690i  Eo=   15.232396
n=65  sigX=   -1.630351              sigC=   -2.414467+-3356.879838i  sigXC=   -4.044818+-3356.879838i  VH=  108.862922+  0.000690i  Eo=   15.232396
n=66  sigX=   -2.171287              sigC=   -2.955545+-2261.332939i  sigXC=   -5.126832+-2261.332939i  VH=  199.167833+  0.000517i  Eo=   15.261278
n=67  sigX=   -2.171287              sigC=   -2.955545+-2261.332939i  sigXC=   -5.126832+-2261.332939i  VH=  199.167833+  0.000517i  Eo=   15.261279
n=68  sigX=   -1.953093              sigC=   -2.549678+-407.838013i  sigXC=   -4.502771+-407.838013i  VH=  152.253293+ -0.000419i  Eo=   16.200358
n=69  sigX=   -1.953093              sigC=   -2.549678+-407.838013i  sigXC=   -4.502771+-407.838013i  VH=  152.253293+ -0.000419i  Eo=   16.200358
n=70  sigX=   -2.291533              sigC=   -3.251516+-5314.425087i  sigXC=   -5.543049+-5314.425087i  VH=  186.397334+  0.000393i  Eo=   16.815710
n=71  sigX=   -2.291533              sigC=   -3.251516+-5314.425087i  sigXC=   -5.543049+-5314.425087i  VH=  186.397334+  0.000393i  Eo=   16.815710
n=72  sigX=   -3.144485              sigC=   -3.607303+4727.350504i  sigXC=   -6.751788+4727.350504i  VH=  245.885580+  0.000431i  Eo=   17.301584
n=73  sigX=   -3.144485              sigC=   -3.607303+4727.350504i  sigXC=   -6.751788+4727.350504i  VH=  245.885580+  0.000431i  Eo=   17.301584
n=74  sigX=   -2.857670              sigC=   -3.556153+1997.292600i  sigXC=   -6.413823+1997.292600i  VH=  272.213938+  0.001568i  Eo=   17.627891
