# Generated by LORRAX unknown at 2026-07-21 04:44:03 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=95  sigX=   -1.598451              sigC=   -2.590815+2825.667784i  sigXC=   -4.189266+2825.667784i  VH=   87.910543+  0.000000i  Eo=   23.447355
n=96  sigX=   -2.619597              sigC=   -2.194090+-2594.220269i  sigXC=   -4.813688+-2594.220269i  VH=  239.612004  Eo=   24.078748
n=97  sigX=   -2.619597              sigC=   -2.194090+-2594.220269i  sigXC=   -4.813688+-2594.220269i  VH=  239.612004  Eo=   24.078748
n=98  sigX=   -1.810632              sigC=  -26.745565+ 82.035497i  sigXC=  -28.556197+ 82.035497i  VH=  142.699891+ -0.000000i  Eo=   24.087456
n=99  sigX=   -1.810632              sigC=  -26.745565+ 82.035497i  sigXC=  -28.556197+ 82.035497i  VH=  142.699891+ -0.000000i  Eo=   24.087456

k-point 1:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -39.360824              sigC=   62.921168+-20981.424398i  sigXC=   23.560344+-20981.424398i  VH=  592.044444+  0.000000i  Eo=  -65.465980
n=1   sigX=  -39.360824              sigC=   62.921168+-20981.424398i  sigXC=   23.560344+-20981.424398i  VH=  592.044444+  0.000000i  Eo=  -65.465980
n=2   sigX=  -33.226010              sigC=  -19.779846+20511.082892i  sigXC=  -53.005856+20511.082892i  VH=  584.416421  Eo=  -42.126171
n=3   sigX=  -33.226010              sigC=  -19.779846+20511.082892i  sigXC=  -53.005856+20511.082892i  VH=  584.416421  Eo=  -42.126171
n=4   sigX=  -32.586124              sigC=  -31.654773+-10634.180466i  sigXC=  -64.240898+-10634.180466i  VH=  577.737560  Eo=  -39.593526
n=5   sigX=  -32.586124              sigC=  -31.654773+-10634.180466i  sigXC=  -64.240898+-10634.180466i  VH=  577.737560  Eo=  -39.593526
n=6   sigX=  -32.571060              sigC=    0.156972+17178.029778i  sigXC=  -32.414088+17178.029778i  VH=  586.646055  Eo=  -39.464894
n=7   sigX=  -32.571060              sigC=    0.156972+17178.029778i  sigXC=  -32.414088+17178.029778i  VH=  586.646055  Eo=  -39.464893
n=8   sigX=  -21.646324              sigC=    5.148507+-20195.537754i  sigXC=  -16.497817+-20195.537754i  VH=  381.342182+ -0.000000i  Eo=  -18.989633
n=9   sigX=  -21.646324              sigC=    5.148507+-20195.537754i  sigXC=  -16.497817+-20195.537754i  VH=  381.342182+ -0.000000i  Eo=  -18.989633
n=10  sigX=  -21.521189              sigC=    2.897935+2513.037784i  sigXC=  -18.623254+2513.037784i  VH=  353.589713+ -0.000000i  Eo=  -18.014213
n=11  sigX=  -21.521189              sigC=    2.897935+2513.037784i  sigXC=  -18.623254+2513.037784i  VH=  353.589713+ -0.000000i  Eo=  -18.014213
n=12  sigX=  -17.441562              sigC=   21.350368+-3560.104838i  sigXC=    3.908806+-3560.104838i  VH=  395.885229  Eo=  -10.482477
n=13  sigX=  -17.441562              sigC=   21.350368+-3560.104838i  sigXC=    3.908806+-3560.104838i  VH=  395.885229  Eo=  -10.482477
n=14  sigX=  -17.601667              sigC=    4.746499+-69506.029779i  sigXC=  -12.855167+-69506.029779i  VH=  463.746220  Eo=   -8.606804
n=15  sigX=  -17.601667              sigC=    4.746499+-69506.029779i  sigXC=  -12.855167+-69506.029779i  VH=  463.746220  Eo=   -8.606804
n=16  sigX=  -17.192108              sigC=    4.851439+53820.084368i  sigXC=  -12.340668+53820.084368i  VH=  395.870431  Eo=   -8.256218
