
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0  0 -1  0 -1  0
 mtrx03 =  0 -1  0 -1  0  0  0  0 -1
 mtrx04 =  0  0 -1  0 -1  0 -1  0  0
 mtrx05 =  0  1  0  0  0  1  1  0  0
 mtrx06 =  0  0  1  1  0  0  0  1  0
 mtrx07 = -1  0  0  0 -1  0  0  0 -1
 mtrx08 =  1  0  0  0  0  1  0  1  0
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 =  0  0  1  0  1  0  1  0  0
 mtrx11 =  0 -1  0  0  0 -1 -1  0  0
 mtrx12 =  0  0 -1 -1  0  0  0 -1  0
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
  13   12.017663992   12.017663992   -5.128433492    2.771285665   -9.356720434  -11.713868261   22.879203860   11.165335599   11.165335599   -7.949831790  -10.306979617   12.572224243   12.572224243    1.000000000
  14   12.017663992   12.017663992   -5.128433492    2.771285665   -9.356720434  -11.713868261   22.879203860   11.165335599   11.165335599   -7.949831790  -10.306979617   12.572224243   12.572224243    1.000000000
  15   12.190621456   12.190621456   -4.744985491    2.528571496   -9.079977992  -11.296391987   22.582081569   11.285689582   11.285689582   -7.704516893   -9.920930888   12.661150681   12.661150681    1.000000000
  16   12.190621456   12.190621456   -4.744985491    2.528571496   -9.079977992  -11.296391987   22.582081569   11.285689582   11.285689582   -7.704516893   -9.920930888   12.661150681   12.661150681    1.000000000
 
       k = -0.000000  0.250000  0.750000 ik =   6 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.652138803   -3.652138803  -16.826041618   12.341692200   -9.475190599  -13.959540017    7.411418115   -6.548121902   -6.548121902   -8.979003675  -13.463353094   -6.051934979   -6.051934979    1.000000000
   2   -3.652138803   -3.652138803  -16.826041618   12.341692200   -9.475190599  -13.959540017    7.411418115   -6.548121902   -6.548121902   -8.979003675  -13.463353094   -6.051934979   -6.051934979    1.000000000
   3    0.787803076    0.787803076  -14.835416299   10.686835137   -9.612237388  -13.760818550   12.088787638   -1.672030912   -1.672030912   -8.841797405  -12.990378567   -0.901590929   -0.901590929    1.000000000
   4    0.787803076    0.787803076  -14.835416299   10.686835137   -9.612237388  -13.760818550   12.088787638   -1.672030912   -1.672030912   -8.841797405  -12.990378567   -0.901590929   -0.901590929    1.000000000
   5    2.509647208    2.509647208  -12.855989461    9.251507049   -9.009479419  -12.613961832   12.808642775    0.194680943    0.194680943   -8.277921455  -11.882403867    0.926238908    0.926238908    1.000000000
   6    2.509647208    2.509647208  -12.855989461    9.251507049   -9.009479419  -12.613961832   12.808642775    0.194680943    0.194680943   -8.277921455  -11.882403867    0.926238908    0.926238908    1.000000000
   7    4.943156715    4.943156715  -12.994640823    9.117142807   -9.604721160  -13.482219175   16.245087940    2.762868765    2.762868765   -8.572262550  -12.449760566    3.795327374    3.795327374    1.000000000
   8    4.943156715    4.943156715  -12.994640823    9.117142807   -9.604721160  -13.482219175   16.245087940    2.762868765    2.762868765   -8.572262550  -12.449760566    3.795327374    3.795327374    1.000000000
   9    8.712780488    8.712780488   -5.198147658    3.010857901   -8.761671187  -10.948960944   18.578285711    7.629324767    7.629324767   -7.746855031   -9.934144788    8.644140923    8.644140923    1.000000000
  10    8.712780488    8.712780488   -5.198147658    3.010857901   -8.761671187  -10.948960944   18.578285711    7.629324767    7.629324767   -7.746855031   -9.934144788    8.644140923    8.644140923    1.000000000
  11   11.050360416   11.050360416   -4.934247742    2.730956270   -9.122793299  -11.326084771   21.480279054   10.154194283   10.154194283   -7.854907869  -10.058199341   11.422079713   11.422079713    1.000000000
  12   11.050360416   11.050360416   -4.934247742    2.730956270   -9.122793299  -11.326084771   21.480279054   10.154194283   10.154194283   -7.854907869  -10.058199341   11.422079713   11.422079713    1.000000000
  13   11.420219213   11.420219213   -5.482627105    2.955974805   -9.149277067  -11.675929367   21.976601691   10.300672324   10.300672324   -7.771589007  -10.298241307   11.678360384   11.678360384    1.000000000
  14   11.420219213   11.420219213   -5.482627105    2.955974805   -9.149277067  -11.675929367   21.976601691   10.300672324   10.300672324   -7.771589007  -10.298241307   11.678360384   11.678360384    1.000000000
  15   12.411758298   12.411758298   -4.414342272    2.338234576   -9.038856631  -11.114964327   22.723853417   11.608889090   11.608889090   -7.756852375   -9.832960070   12.890893347   12.890893347    1.000000000
  16   12.411758298   12.411758298   -4.414342272    2.338234576   -9.038856631  -11.114964327   22.723853417   11.608889090   11.608889090   -7.756852375   -9.832960070   12.890893347   12.890893347    1.000000000
 
       k =  0.000000  0.500000  0.500000 ik =   7 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -1.550057933   -1.550057933  -15.990398607   11.637983031   -9.585263764  -13.937679340    9.699850370   -4.237828970   -4.237828970   -8.955964328  -13.308379904   -3.608529534   -3.608529534    1.000000000
   2   -1.550057933   -1.550057933  -15.990398607   11.637983031   -9.585263764  -13.937679340    9.699850370   -4.237828970   -4.237828970   -8.955964328  -13.308379904   -3.608529534   -3.608529534    1.000000000
   3   -1.550057716   -1.550057716  -15.990398607   11.637983031   -9.585263764  -13.937679340    9.699850370   -4.237828970   -4.237828970   -8.955964328  -13.308379904   -3.608529534   -3.608529534    1.000000000
   4   -1.550057716   -1.550057716  -15.990398607   11.637983031   -9.585263764  -13.937679340    9.699850370   -4.237828970   -4.237828970   -8.955964328  -13.308379904   -3.608529534   -3.608529534    1.000000000
   5    3.412381272    3.412381272  -13.361352142    9.517463901   -9.358815754  -13.202703995   14.297658471    1.094954476    1.094954476   -8.494408009  -12.338296250    1.959362221    1.959362221    1.000000000
   6    3.412381272    3.412381272  -13.361352142    9.517463901   -9.358815754  -13.202703995   14.297658471    1.094954476    1.094954476   -8.494408009  -12.338296250    1.959362221    1.959362221    1.000000000
   7    3.412381372    3.412381372  -13.361352142    9.517463901   -9.358815754  -13.202703995   14.297658471    1.094954476    1.094954476   -8.494408009  -12.338296250    1.959362221    1.959362221    1.000000000
   8    3.412381372    3.412381372  -13.361352142    9.517463901   -9.358815754  -13.202703995   14.297658471    1.094954476    1.094954476   -8.494408009  -12.338296250    1.959362221    1.959362221    1.000000000
   9    6.973640390    6.973640390   -5.161875288    3.054553238   -8.341094250  -10.448416300   16.148017406    5.699601106    5.699601106   -7.528864951   -9.636187001    6.511830406    6.511830406    1.000000000
  10    6.973640390    6.973640390   -5.161875288    3.054553238   -8.341094250  -10.448416300   16.148017406    5.699601106    5.699601106   -7.528864951   -9.636187001    6.511830406    6.511830406    1.000000000
  11    6.973640544    6.973640544   -5.161875288    3.054553238   -8.341094250  -10.448416300   16.148017406    5.699601106    5.699601106   -7.528864951   -9.636187001    6.511830406    6.511830406    1.000000000
  12    6.973640544    6.973640544   -5.161875288    3.054553238   -8.341094250  -10.448416300   16.148017406    5.699601106    5.699601106   -7.528864951   -9.636187001    6.511830406    6.511830406    1.000000000
  13   16.370505384   16.370505384   -3.795358231    1.798630001   -9.548328297  -11.545056527   27.472054640   15.926998113   15.926998113   -7.825392386   -9.822120616   17.649934024   17.649934024    1.000000000
  14   16.370505384   16.370505384   -3.795358231    1.798630001   -9.548328297  -11.545056527   27.472054640   15.926998113   15.926998113   -7.825392386   -9.822120616   17.649934024   17.649934024    1.000000000
  15   16.370505413   16.370505413   -3.795358231    1.798630001   -9.548328297  -11.545056527   27.472054640   15.926998113   15.926998113   -7.825392386   -9.822120616   17.649934024   17.649934024    1.000000000
  16   16.370505413   16.370505413   -3.795358231    1.798630001   -9.548328297  -11.545056527   27.472054640   15.926998113   15.926998113   -7.825392386   -9.822120616   17.649934024   17.649934024    1.000000000
 
       k =  0.250000  0.500000  0.750000 ik =   8 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -1.387963456   -1.387963456  -16.049065830   11.661359941   -9.671414630  -14.059120518   10.005083498   -4.054037020   -4.054037020   -9.016095535  -13.403801424   -3.398717926   -3.398717926    1.000000000
   2   -1.387963456   -1.387963456  -16.049065830   11.661359941   -9.671414630  -14.059120518   10.005083498   -4.054037020   -4.054037020   -9.016095535  -13.403801424   -3.398717926   -3.398717926    1.000000000
   3   -1.382357503   -1.382357503  -16.046669320   11.659663153   -9.671283073  -14.058289240   10.010434260   -4.047854980   -4.047854980   -9.015967332  -13.402973499   -3.392539239   -3.392539239    1.000000000
   4   -1.382357503   -1.382357503  -16.046669320   11.659663153   -9.671283073  -14.058289240   10.010434260   -4.047854980   -4.047854980   -9.015967332  -13.402973499   -3.392539239   -3.392539239    1.000000000
   5    2.402471763    2.402471763  -12.840434189    9.246444887   -8.954116290  -12.548105592   12.610533497    0.062427905    0.062427905   -8.240677146  -11.834666449    0.775867048    0.775867048    1.000000000
   6    2.402471763    2.402471763  -12.840434189    9.246444887   -8.954116290  -12.548105592   12.610533497    0.062427905    0.062427905   -8.240677146  -11.834666449    0.775867048    0.775867048    1.000000000
   7    2.415303830    2.415303830  -12.828584525    9.237280200   -8.951859188  -12.543163513   12.619562326    0.076398813    0.076398813   -8.239986251  -11.831290576    0.788271750    0.788271750    1.000000000
   8    2.415303830    2.415303830  -12.828584525    9.237280200   -8.951859188  -12.543163513   12.619562326    0.076398813    0.076398813   -8.239986251  -11.831290576    0.788271750    0.788271750    1.000000000
