kPartitionId           	
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_523, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_522, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_521, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_519, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_518, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_517, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_516, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_515, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_514, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_513, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_transpose_fusion, launch dimensions = blocks: {120, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_transpose_fusion, launch dimensions = blocks: {120, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_511, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_510, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_509, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_508, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_507, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_506, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_505, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_503, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_502, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_501, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_500, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_499, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_498, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_497, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_transpose_fusion, launch dimensions = blocks: {120, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_495, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_494, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_493, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_492, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_491, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_490, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_489, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_487, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_486, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_485, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = loop_slice_fusion_4, launch dimensions = blocks: {60000, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_484, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_483, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_482, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_481, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_479, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_478, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_477, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_476, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_475, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_474, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_473, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_471, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_470, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_469, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_468, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_467, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_466, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_465, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_463, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_462, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_461, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_460, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_459, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_458, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_457, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kCommandBuffer         	
kAllGatherStart        	
kCommandBuffer         	
kAllGatherStart        	
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

kKernel                	, kernel = loop_dynamic_update_slice_fusion_455, launch dimensions = blocks: {60, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kKernel                	, kernel = input_complex_transpose_fusion_4, launch dimensions = blocks: {225, 1, 1}, threads/block: {128, 1, 1}, cluster_dim = nullopt
kSequential            	  kCopy           	
  kTriangularSolve	

kSequential            	  kCopy           	
  kTriangularSolve	

