
 frequency_dependence   3

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0  0 -1  0 -1  0
 mtrx03 =  0 -1  0 -1  0  0  0  0 -1
 mtrx04 =  0  0 -1  0 -1  0 -1  0  0
 mtrx05 =  0  1  0  0  0  1  1  0  0
 mtrx06 =  0  0  1  1  0  0  0  1  0
 mtrx07 = -1  0  0  0 -1  0  0  0 -1
 mtrx08 =  1  0  0  0  0  1  0  1  0
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 =  0  0  1  0  1  0  1  0  0
 mtrx11 =  0 -1  0  0  0 -1 -1  0  0
 mtrx12 =  0  0 -1 -1  0  0  0 -1  0
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
  13   12.028944412   12.028944412   -5.340819161    4.271035736   -8.845861419   -9.915644843   23.000302177   13.084657334   12.836246415   -8.845861419   -9.915644843   13.084657334   12.836246415    0.764698420
  14   12.028944412   12.028944412   -5.340819161    4.271035736   -8.845861419   -9.915644843   23.000302177   13.084657334   12.836246415   -8.845861419   -9.915644843   13.084657334   12.836246415    0.764698420
  15   12.031510983   12.031510983   -5.350504015    4.242176046   -8.813258805   -9.921586773   23.011452966   13.089866193   12.839882396   -8.813258805   -9.921586773   13.089866193   12.839882396    0.763799720
  16   12.031510983   12.031510983   -5.350504015    4.242176046   -8.813258805   -9.921586773   23.011452966   13.089866193   12.839882396   -8.813258805   -9.921586773   13.089866193   12.839882396    0.763799720
 
       k = -0.000000  0.250000  0.500000 ik =   5 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -2.977120615   -2.977120615  -16.617435372   12.654751802   -7.098615686  -11.061299256    8.198816881   -2.862482375   -2.899477493   -7.098615686  -11.061299256   -2.862482375   -2.899477493    0.677288151
   2   -2.977120615   -2.977120615  -16.617435372   12.654751802   -7.098615686  -11.061299256    8.198816881   -2.862482375   -2.899477493   -7.098615686  -11.061299256   -2.862482375   -2.899477493    0.677288151
   3   -0.116047793   -0.116047793  -15.156472605   11.296940537   -7.309206408  -11.168738476   11.029641360   -0.139097116   -0.132569844   -7.309206408  -11.168738476   -0.139097116   -0.132569844    0.716812880
   4   -0.116047793   -0.116047793  -15.156472605   11.296940537   -7.309206408  -11.168738476   11.029641360   -0.139097116   -0.132569844   -7.309206408  -11.168738476   -0.139097116   -0.132569844    0.716812880
   5    2.729548220    2.729548220  -12.921080297    9.514212764   -7.238402595  -10.645270127   13.218510592    2.573240465    2.610377954   -7.238402595  -10.645270127    2.573240465    2.610377954    0.762407894
   6    2.729548220    2.729548220  -12.921080297    9.514212764   -7.238402595  -10.645270127   13.218510592    2.573240465    2.610377954   -7.238402595  -10.645270127    2.573240465    2.610377954    0.762407894
   7    4.062046497    4.062046497  -13.154653943    9.625778232   -7.592132339  -11.121008051   15.089309643    3.968301592    3.989970859   -7.592132339  -11.121008051    3.968301592    3.989970859    0.768848590
   8    4.062046497    4.062046497  -13.154653943    9.625778232   -7.592132339  -11.121008051   15.089309643    3.968301592    3.989970859   -7.592132339  -11.121008051    3.968301592    3.989970859    0.768848590
   9    7.784320141    7.784320141   -5.174535211    3.665723630   -7.285925296   -8.794736878   17.225179462    8.430442584    8.290902321   -7.285925296   -8.794736878    8.430442584    8.290902321    0.784034334
  10    7.784320141    7.784320141   -5.174535211    3.665723630   -7.285925296   -8.794736878   17.225179462    8.430442584    8.290902321   -7.285925296   -8.794736878    8.430442584    8.290902321    0.784034334
  11   10.722889408   10.722889408   -4.856225887    3.713152210   -7.952625933   -9.095699610   20.583712521   11.488012911   11.311239284   -7.952625933   -9.095699610   11.488012911   11.311239284    0.768960662
  12   10.722889408   10.722889408   -4.856225887    3.713152210   -7.952625933   -9.095699610   20.583712521   11.488012911   11.311239284   -7.952625933   -9.095699610   11.488012911   11.311239284    0.768960662
  13   12.017663992   12.017663992   -5.128433492    4.456092104   -9.110252421   -9.782593809   22.879203860   13.096610051   12.834217032   -9.110252421   -9.782593809   13.096610051   12.834217032    0.756806174
  14   12.017663992   12.017663992   -5.128433492    4.456092104   -9.110252421   -9.782593809   22.879203860   13.096610051   12.834217032   -9.110252421   -9.782593809   13.096610051   12.834217032    0.756806174
  15   12.190621456   12.190621456   -4.744985491    4.085491921   -8.746469358   -9.405962928   22.582081569   13.176118641   12.917885064   -8.746469358   -9.405962928   13.176118641   12.917885064    0.737966196
  16   12.190621456   12.190621456   -4.744985491    4.085491921   -8.746469358   -9.405962928   22.582081569   13.176118641   12.917885064   -8.746469358   -9.405962928   13.176118641   12.917885064    0.737966196
 
       k = -0.000000  0.250000  0.750000 ik =   6 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.652138803   -3.652138803  -16.826041618   12.942157064   -7.008595358  -10.892479912    7.411418115   -3.481061797   -3.538961730   -7.008595358  -10.892479912   -3.481061797   -3.538961730    0.661556313
   2   -3.652138803   -3.652138803  -16.826041618   12.942157064   -7.008595358  -10.892479912    7.411418115   -3.481061797   -3.538961730   -7.008595358  -10.892479912   -3.481061797   -3.538961730    0.661556313
   3    0.787803076    0.787803076  -14.835416299   10.926542960   -7.430865753  -11.339739093   12.088787638    0.749048545    0.758589966   -7.430865753  -11.339739093    0.749048545    0.758589966    0.753798566
   4    0.787803076    0.787803076  -14.835416299   10.926542960   -7.430865753  -11.339739093   12.088787638    0.749048545    0.758589966   -7.430865753  -11.339739093    0.749048545    0.758589966    0.753798566
   5    2.509647208    2.509647208  -12.855989461    9.481846733   -7.126373716  -10.500516444   12.808642775    2.308126331    2.356018348   -7.126373716  -10.500516444    2.308126331    2.356018348    0.762347118
   6    2.509647208    2.509647208  -12.855989461    9.481846733   -7.126373716  -10.500516444   12.808642775    2.308126331    2.356018348   -7.126373716  -10.500516444    2.308126331    2.356018348    0.762347118
   7    4.943156715    4.943156715  -12.994640823    9.475732465   -7.782892644  -11.301801002   16.245087940    4.943286938    4.943257636   -7.782892644  -11.301801002    4.943286938    4.943257636    0.774986160
   8    4.943156715    4.943156715  -12.994640823    9.475732465   -7.782892644  -11.301801002   16.245087940    4.943286938    4.943257636   -7.782892644  -11.301801002    4.943286938    4.943257636    0.774986160
   9    8.712780488    8.712780488   -5.198147658    3.840098111   -7.695384567   -9.053434113   18.578285711    9.524851598    9.345293450   -7.695384567   -9.053434113    9.524851598    9.345293450    0.778888639
  10    8.712780488    8.712780488   -5.198147658    3.840098111   -7.695384567   -9.053434113   18.578285711    9.524851598    9.345293450   -7.695384567   -9.053434113    9.524851598    9.345293450    0.778888639
  11   11.050360416   11.050360416   -4.934247742    3.928175182   -8.445100158   -9.451172718   21.480279054   12.029106336   11.782206351   -8.445100158   -9.451172718   12.029106336   11.782206351    0.747738427
  12   11.050360416   11.050360416   -4.934247742    3.928175182   -8.445100158   -9.451172718   21.480279054   12.029106336   11.782206351   -8.445100158   -9.451172718   12.029106336   11.782206351    0.747738427
  13   11.420219213   11.420219213   -5.482627105    4.291073857   -8.486795186   -9.678348434   21.976601691   12.298253257   12.111510151   -8.486795186   -9.678348434   12.298253257   12.111510151    0.787316782
  14   11.420219213   11.420219213   -5.482627105    4.291073857   -8.486795186   -9.678348434   21.976601691   12.298253257   12.111510151   -8.486795186   -9.678348434   12.298253257   12.111510151    0.787316782
  15   12.411758298   12.411758298   -4.414342272    4.057651112   -8.999876723   -9.356567882   22.723853417   13.367285535   13.147621004   -8.999876723   -9.356567882   13.367285535   13.147621004    0.770111702
  16   12.411758298   12.411758298   -4.414342272    4.057651112   -8.999876723   -9.356567882   22.723853417   13.367285535   13.147621004   -8.999876723   -9.356567882   13.367285535   13.147621004    0.770111702
 
       k =  0.000000  0.500000  0.500000 ik =   7 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -1.550057933   -1.550057933  -15.990398607   12.017617566   -7.227930618  -11.200711659    9.699850370   -1.500861289   -1.515744711   -7.227930618  -11.200711659   -1.500861289   -1.515744711    0.697470789
   2   -1.550057933   -1.550057933  -15.990398607   12.017617566   -7.227930618  -11.200711659    9.699850370   -1.500861289   -1.515744711   -7.227930618  -11.200711659   -1.500861289   -1.515744711    0.697470789
   3   -1.550057716   -1.550057716  -15.990398607   12.017617566   -7.227930618  -11.200711659    9.699850370   -1.500861289   -1.515744645   -7.227930618  -11.200711659   -1.500861289   -1.515744645    0.697470789
   4   -1.550057716   -1.550057716  -15.990398607   12.017617566   -7.227930618  -11.200711659    9.699850370   -1.500861289   -1.515744645   -7.227930618  -11.200711659   -1.500861289   -1.515744645    0.697470789
   5    3.412381272    3.412381272  -13.361352142    9.791259568   -7.476265865  -11.046358440   14.297658471    3.251300031    3.288958826   -7.476265865  -11.046358440    3.251300031    3.288958826    0.766212412
   6    3.412381272    3.412381272  -13.361352142    9.791259568   -7.476265865  -11.046358440   14.297658471    3.251300031    3.288958826   -7.476265865  -11.046358440    3.251300031    3.288958826    0.766212412
   7    3.412381372    3.412381372  -13.361352142    9.791259568   -7.476265865  -11.046358440   14.297658471    3.251300031    3.288958849   -7.476265865  -11.046358440    3.251300031    3.288958849    0.766212412
   8    3.412381372    3.412381372  -13.361352142    9.791259568   -7.476265865  -11.046358440   14.297658471    3.251300031    3.288958849   -7.476265865  -11.046358440    3.251300031    3.288958849    0.766212412
   9    6.973640390    6.973640390   -5.161875288    3.589813432   -7.048302596   -8.620364452   16.148017406    7.527652954    7.410043070   -7.048302596   -8.620364452    7.527652954    7.410043070    0.787712605
  10    6.973640390    6.973640390   -5.161875288    3.589813432   -7.048302596   -8.620364452   16.148017406    7.527652954    7.410043070   -7.048302596   -8.620364452    7.527652954    7.410043070    0.787712605
  11    6.973640544    6.973640544   -5.161875288    3.589813432   -7.048302596   -8.620364452   16.148017406    7.527652954    7.410043103   -7.048302596   -8.620364452    7.527652954    7.410043103    0.787712605
  12    6.973640544    6.973640544   -5.161875288    3.589813432   -7.048302596   -8.620364452   16.148017406    7.527652954    7.410043103   -7.048302596   -8.620364452    7.527652954    7.410043103    0.787712605
  13   16.370505384   16.370505384   -3.795358231    6.534501415  -12.812452042  -10.073308858   27.472054640   17.398745782   17.078706892  -12.812452042  -10.073308858   17.398745782   17.078706892    0.688750908
  14   16.370505384   16.370505384   -3.795358231    6.534501415  -12.812452042  -10.073308858   27.472054640   17.398745782   17.078706892  -12.812452042  -10.073308858   17.398745782   17.078706892    0.688750908
  15   16.370505413   16.370505413   -3.795358231    6.534501415  -12.812452042  -10.073308858   27.472054640   17.398745782   17.078706901  -12.812452042  -10.073308858   17.398745782   17.078706901    0.688750908
  16   16.370505413   16.370505413   -3.795358231    6.534501415  -12.812452042  -10.073308858   27.472054640   17.398745782   17.078706901  -12.812452042  -10.073308858   17.398745782   17.078706901    0.688750908
 
       k =  0.250000  0.500000  0.750000 ik =   8 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -1.387963456   -1.387963456  -16.049065830   11.988479328   -7.298230233  -11.358816735   10.005083498   -1.353733237   -1.361908476   -7.298230233  -11.358816735   -1.353733237   -1.361908476    0.761168943
   2   -1.387963456   -1.387963456  -16.049065830   11.988479328   -7.298230233  -11.358816735   10.005083498   -1.353733237   -1.361908476   -7.298230233  -11.358816735   -1.353733237   -1.361908476    0.761168943
   3   -1.382357503   -1.382357503  -16.046669320   12.006431702   -7.298862239  -11.339099856   10.010434260   -1.328665596   -1.344259115   -7.298862239  -11.339099856   -1.328665596   -1.344259115    0.709574125
   4   -1.382357503   -1.382357503  -16.046669320   12.006431702   -7.298862239  -11.339099856   10.010434260   -1.328665596   -1.344259115   -7.298862239  -11.339099856   -1.328665596   -1.344259115    0.709574125
   5    2.402471763    2.402471763  -12.840434189    9.464196368   -7.070660619  -10.446898440   12.610533497    2.163635057    2.220678396   -7.070660619  -10.446898440    2.163635057    2.220678396    0.761161761
   6    2.402471763    2.402471763  -12.840434189    9.464196368   -7.070660619  -10.446898440   12.610533497    2.163635057    2.220678396   -7.070660619  -10.446898440    2.163635057    2.220678396    0.761161761
   7    2.415303830    2.415303830  -12.828584525    9.449167824   -7.064986096  -10.444402797   12.619562326    2.175159529    2.232438429   -7.064986096  -10.444402797    2.175159529    2.232438429    0.761481329
   8    2.415303830    2.415303830  -12.828584525    9.449167824   -7.064986096  -10.444402797   12.619562326    2.175159529    2.232438429   -7.064986096  -10.444402797    2.175159529    2.232438429    0.761481329
