# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=43   E_DFT=    5.593484  Re=  635.364179  Im=-226849517.619456
n=44   E_DFT=    7.168475  Re=  747.215839  Im=332639258.974705
n=45   E_DFT=    7.168476  Re=  805.785992  Im=318490745.695709
n=46   E_DFT=    7.616636  Re= -181.361283  Im=-70897217.148653
n=47   E_DFT=    7.616647  Re= -154.501391  Im=-34787603.086854
n=48   E_DFT=    7.719616  Re=   40.054662  Im=34759246.458464
n=49   E_DFT=    7.719623  Re=  105.357714  Im=55665944.414261
n=50   E_DFT=    9.143772  Re= -193.884300  Im=3613763.023027
n=51   E_DFT=    9.143772  Re= -172.892439  Im=6317702.505663
n=52   E_DFT=    9.711154  Re= -611.097439  Im=-89246745.563416
n=53   E_DFT=    9.711160  Re= -574.362814  Im=-107158170.182640
n=54   E_DFT=   10.065487  Re=   20.922668  Im=249926098.736641
n=55   E_DFT=   10.065487  Re=   17.492285  Im=252895150.686727
n=56   E_DFT=   10.144665  Re= -608.020549  Im=-51241238.914109
n=57   E_DFT=   10.144670  Re= -605.825256  Im=-60999384.588874
n=58   E_DFT=   12.357075  Re=  -60.808967  Im=-147276110.457055
n=59   E_DFT=   12.357075  Re= -107.569962  Im=-151254917.572838
n=60   E_DFT=   13.541713  Re=   23.874019  Im=-6411682.100771
n=61   E_DFT=   13.541718  Re=   28.365315  Im=-17369444.908920
n=62   E_DFT=   13.877040  Re= -208.219791  Im=76003609.807773
n=63   E_DFT=   13.877047  Re= -183.791330  Im=64911139.838661
n=64   E_DFT=   14.840711  Re=   79.151428  Im=138861178.198759
n=65   E_DFT=   14.840715  Re=  120.212791  Im=151680387.099990
n=66   E_DFT=   15.590616  Re= -389.407361  Im=38740577.757232
n=67   E_DFT=   15.590617  Re= -363.606369  Im=55210762.167074
n=68   E_DFT=   16.288930  Re=  775.140526  Im=193405875.835739
n=69   E_DFT=   16.288930  Re=  774.702880  Im=168788012.953732
n=70   E_DFT=   17.050850  Re=   91.787315  Im=82999340.204397
n=71   E_DFT=   17.050854  Re=  104.785033  Im=88596076.171138
n=72   E_DFT=   17.207914  Re=  -26.889433  Im=-36317496.020493
n=73   E_DFT=   17.207920  Re=  -19.980260  Im=-35026658.154997
n=74   E_DFT=   17.657365  Re=  -62.050955  Im=-15705457.477659
n=75   E_DFT=   17.657365  Re=  -57.143578  Im=-10616824.735652
n=76   E_DFT=   19.467500  Re=  130.966926  Im=119274395.110175
n=77   E_DFT=   19.467505  Re=   72.345562  Im=140043797.394817
n=78   E_DFT=   19.553018  Re= -391.232276  Im=43226615.704104
n=79   E_DFT=   19.553022  Re= -459.987233  Im=49610501.203433

k-point 3:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.392905  Re= 7003.530840  Im=-81964386.375452
n=1    E_DFT=  -65.392905  Re= 7001.231144  Im=-111703908.014055
n=2    E_DFT=  -42.080512  Re=-1005.507607  Im=-1104557690.718125
