# Sigma frequency debug decomposition (all energies in eV)
# k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    

k-point 0:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              1		             11		          3.122		          9.757		         18.755		         -2.127		         -7.373		         -4.724		         -3.345		          0.954		         -4.949		          0.000		         -3.995
              1		             12		          3.143		          9.779		         18.740		         -2.127		         -7.367		         -4.722		         -3.340		          0.952		         -4.947		          0.000		         -3.994
              1		             13		          3.143		          9.779		         18.740		         -2.128		         -7.375		         -4.725		         -3.345		          0.953		         -4.953		          0.000		         -3.999
              1		             14		          6.557		         13.192		         23.242		         -2.031		         -7.066		         -4.104		         -3.246		          0.688		         -5.214		          0.000		         -4.526
              1		             15		          6.557		         13.192		         23.242		         -2.031		         -7.065		         -4.104		         -3.245		          0.688		         -5.214		          0.000		         -4.526
              1		             16		          6.838		         13.474		         21.878		         -1.971		         -6.885		         -3.882		         -3.193		          0.627		         -5.092		          0.001		         -4.465
              1		             17		          6.838		         13.474		         21.878		         -1.970		         -6.878		         -3.880		         -3.190		          0.626		         -5.087		          0.001		         -4.460
              1		             18		          6.841		         13.477		         21.881		         -1.970		         -6.878		         -3.879		         -3.190		          0.626		         -5.087		          0.001		         -4.461
              1		             19		          6.841		         13.477		         21.881		         -1.971		         -6.886		         -3.881		         -3.194		          0.627		         -5.093		          0.001		         -4.466
              1		             20		          8.636		         15.271		         17.416		         -2.194		         -7.154		         -5.016		         -2.679		          0.888		         -5.293		          0.000		         -4.405
              1		             21		          8.636		         15.271		         17.416		         -2.194		         -7.154		         -5.016		         -2.679		          0.888		         -5.293		          0.000		         -4.405
              1		             22		         11.487		         18.122		         23.042		         -1.918		         -6.743		         -3.681		         -2.971		            nan		            nan		          0.000		            nan
              1		             23		         11.487		         18.122		         23.042		         -1.918		         -6.743		         -3.681		         -2.971		            nan		            nan		          0.000		            nan
              1		             24		         14.282		         20.917		         30.518		         -1.637		         -6.326		         -2.693		         -3.109		            nan		            nan		          0.000		            nan
              1		             25		         14.282		         20.917		         30.518		         -1.637		         -6.321		         -2.692		         -3.108		            nan		            nan		          0.000		            nan
              1		             26		         14.288		         20.924		         30.509		         -1.637		         -6.325		         -2.693		         -3.109		            nan		            nan		          0.000		            nan
              1		             27		         14.288		         20.924		         30.509		         -1.637		         -6.326		         -2.693		         -3.109		            nan		            nan		          0.000		            nan
              1		             28		         17.514		         24.149		         33.835		         -1.683		         -5.918		         -2.659		         -2.714		            nan		            nan		          0.001		            nan
              1		             29		         17.514		         24.149		         33.835		         -1.685		         -5.927		         -2.662		         -2.720		            nan		            nan		          0.001		            nan
              1		             30		         17.525		         24.160		         33.829		         -1.683		         -5.923		         -2.659		         -2.716		            nan		            nan		          0.001		            nan
              1		             31		         17.525		         24.160		         33.829		         -1.685		         -5.934		         -2.662		         -2.722		            nan		            nan		          0.001		            nan
              1		             32		         17.650		         24.285		         35.353		         -1.613		         -5.964		         -2.464		         -2.888		            nan		            nan		          0.000		            nan
              1		             33		         17.650		         24.285		         35.353		         -1.612		         -5.964		         -2.464		         -2.889		            nan		            nan		          0.000		            nan
              1		             34		         19.737		         26.372		         28.187		         -1.659		         -6.125		         -2.713		         -2.791		            nan		            nan		          0.000		            nan
              1		             35		         19.737		         26.372		         28.187		         -1.659		         -6.125		         -2.713		         -2.791		            nan		            nan		          0.000		            nan
              1		             36		         23.666		         30.302		         49.776		         -1.417		         -4.703		         -1.859		         -2.197		            nan		            nan		          0.001		            nan
