# Generated by LORRAX unknown at 2026-07-21 06:31:56 UTC
# Sigma output (all in eV)
# sigXC = sigX + sigC

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigX=  -39.467486              sigC=  -37.383204+ -1.469967i  sigXC=  -76.850690+ -1.469967i  VH=  591.604009+ -0.000060i  Eo=  -65.484467
n=1   sigX=  -39.467486              sigC=  -37.383204+ -1.469967i  sigXC=  -76.850690+ -1.469967i  VH=  591.604009+ -0.000060i  Eo=  -65.484467
n=24  sigX=  -16.822868              sigC= -170.375166+-6750662.727636i  sigXC= -187.198035+-6750662.727636i  VH=  427.263787+ -0.000157i  Eo=   -5.682865
n=25  sigX=  -16.822868              sigC= -170.375166+-6750662.727636i  sigXC= -187.198035+-6750662.727636i  VH=  427.263787+ -0.000157i  Eo=   -5.682865
n=26  sigX=  -10.925345              sigC= -191.307481+7243357.052786i  sigXC= -202.232826+7243357.052786i  VH=  410.006455+ -0.000469i  Eo=   -3.039484
n=27  sigX=  -10.925345              sigC= -191.307481+7243357.052786i  sigXC= -202.232826+7243357.052786i  VH=  410.006455+ -0.000469i  Eo=   -3.039482
n=28  sigX=  -11.361642              sigC= 1119.399787+328064.273160i  sigXC= 1108.038145+328064.273160i  VH=  427.341187+ -0.000256i  Eo=   -2.737502
n=29  sigX=  -11.361642              sigC= 1119.399787+328064.273160i  sigXC= 1108.038145+328064.273160i  VH=  427.341187+ -0.000256i  Eo=   -2.737499
n=30  sigX=  -11.227710              sigC= 2086.419008+681884.161670i  sigXC= 2075.191298+681884.161670i  VH=  436.177969+ -0.000250i  Eo=   -2.697296
n=31  sigX=  -11.227710              sigC= 2086.419008+681884.161670i  sigXC= 2075.191298+681884.161670i  VH=  436.177969+ -0.000250i  Eo=   -2.697295
n=32  sigX=  -11.158768              sigC= -241.489372+89066.284554i  sigXC= -252.648139+89066.284554i  VH=  427.903317+  0.000252i  Eo=   -1.968038
n=33  sigX=  -11.158768              sigC= -241.489372+89066.284554i  sigXC= -252.648139+89066.284554i  VH=  427.903317+  0.000252i  Eo=   -1.968037
