# Generated by LORRAX unknown at 2026-07-20 22:59:40 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=22   E_DFT=   -6.612781  Re=   -6.975642  Im=186494.516714
n=23   E_DFT=   -6.612778  Re=   -6.736913  Im=107759.958533
n=24   E_DFT=   -6.332732  Re=   -9.335440  Im=2038428.094802
n=25   E_DFT=   -6.332729  Re=   -9.036626  Im=2134007.633924
n=26   E_DFT=   -3.126291  Re=   -4.607518  Im=-3171514.041265
n=27   E_DFT=   -3.126289  Re=   -4.705190  Im=3134664.399170
n=28   E_DFT=   -2.998806  Re=   -9.641183  Im=-2607506.143120
n=29   E_DFT=   -2.998804  Re=   -9.693673  Im=3578238.745295
n=30   E_DFT=   -1.891625  Re=    6.036620  Im=-2367794.779470
n=31   E_DFT=   -1.891624  Re=    6.490313  Im=-1578849.527448
n=32   E_DFT=   -1.279018  Re=   16.944549  Im=-1103155.980158
n=33   E_DFT=   -1.279017  Re=   17.507401  Im=-371904.426727
n=34   E_DFT=    2.651931  Re=    4.112022  Im=-510911.918144
n=35   E_DFT=    2.651931  Re=    4.149065  Im=-472514.312974
n=36   E_DFT=    2.909043  Re=    5.536891  Im=-703910.084297
n=37   E_DFT=    2.909043  Re=    5.731312  Im=-627507.599257
n=38   E_DFT=    3.282129  Re=    6.415832  Im=1375967.985860
n=39   E_DFT=    3.282130  Re=    6.395462  Im=1368144.283834
n=40   E_DFT=    5.167173  Re=   20.045551  Im=58953.443293
n=41   E_DFT=    5.167173  Re=   20.330666  Im=120009.452651
n=42   E_DFT=    5.582657  Re=   10.779154  Im=-10524.784043
n=43   E_DFT=    5.582658  Re=    9.491374  Im=-151773.118136
n=44   E_DFT=    7.149571  Re=   11.408325  Im=1006396.897774
n=45   E_DFT=    7.149571  Re=   11.361949  Im=1115900.994290
n=46   E_DFT=    7.620488  Re=   21.460225  Im=328512.972550
n=47   E_DFT=    7.620488  Re=   21.494538  Im=303679.686342
n=48   E_DFT=    7.714046  Re=   14.517656  Im=-895904.803750
n=49   E_DFT=    7.714046  Re=   13.877767  Im=-1020034.488009
n=50   E_DFT=    9.159372  Re=   14.614017  Im=-784848.153823
n=51   E_DFT=    9.159372  Re=   14.643908  Im=-790760.070325
n=52   E_DFT=    9.701628  Re=   39.728167  Im=609140.443827
n=53   E_DFT=    9.701629  Re=   39.554625  Im=702137.402155
n=54   E_DFT=   10.083472  Re=   16.043145  Im=-680876.853701
n=55   E_DFT=   10.083473  Re=   15.322973  Im=-744904.187247
n=56   E_DFT=   10.160901  Re=   24.795763  Im=-1153505.983805
n=57   E_DFT=   10.160901  Re=   24.544771  Im=-1184040.968187
n=58   E_DFT=   12.372283  Re=   20.684994  Im=1021074.567155
n=59   E_DFT=   12.372283  Re=   20.543373  Im=1081953.892374
n=60   E_DFT=   13.551374  Re=   40.779959  Im=-1084842.721395
n=61   E_DFT=   13.551374  Re=   40.561333  Im=-1071397.980877
n=62   E_DFT=   13.877359  Re=   58.873668  Im=-406838.466916
n=63   E_DFT=   13.877359  Re=   58.942943  Im=-388697.934811
n=64   E_DFT=   14.834141  Re=  130.338540  Im=-346584.546676
n=65   E_DFT=   14.834141  Re=  130.673704  Im=-326461.017095
n=66   E_DFT=   15.592301  Re=  104.809232  Im=927463.417743
n=67   E_DFT=   15.592301  Re=  104.511292  Im=923027.600402
n=68   E_DFT=   16.262755  Re=   24.081288  Im=343465.773326
n=69   E_DFT=   16.262755  Re=   23.754631  Im=398585.286380
n=70   E_DFT=   17.047681  Re=   32.501204  Im=-499632.400908
n=71   E_DFT=   17.047682  Re=   33.028532  Im=-446372.635994
n=72   E_DFT=   17.205227  Re=   94.657475  Im=742997.449212
n=73   E_DFT=   17.205227  Re=   94.265871  Im=708565.933879
n=74   E_DFT=   17.670259  Re=  272.808152  Im=-882914.512055
n=75   E_DFT=   17.670259  Re=  272.659555  Im=-882726.576233
n=76   E_DFT=   19.471029  Re=   78.964701  Im=1852523.059038
n=77   E_DFT=   19.471030  Re=   78.933920  Im=1784364.443757
n=78   E_DFT=   19.564073  Re=   58.779713  Im=-550728.956104
n=79   E_DFT=   19.564073  Re=   58.811011  Im=-558120.786564
n=80   E_DFT=   19.767089  Re=   39.969777  Im=-1481842.079617
n=81   E_DFT=   19.767089  Re=   40.013280  Im=-1474986.230525
n=82   E_DFT=   20.779962  Re=  136.055804  Im=514524.322010
n=83   E_DFT=   20.779962  Re=  136.178603  Im=505154.905124
n=84   E_DFT=   21.104210  Re=   35.964528  Im=-670016.107218
n=85   E_DFT=   21.104212  Re=   37.097919  Im=-455668.245661
n=86   E_DFT=   21.222135  Re=   70.037251  Im=714013.761553
