# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.07749573E+01  -9.98493610E+00   7.90021158E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.08944670E+00   1.05842719E+00  -3.10195076E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     89  -9.39372374E+00  -8.82285843E+00   5.70865303E-01
     90  -9.41203538E+00  -8.83929525E+00   5.72740127E-01
     91  -9.42897840E+00  -8.85003432E+00   5.78944072E-01
     92  -9.44514660E+00  -8.86073224E+00   5.84414359E-01
     93  -9.45468278E+00  -8.86910424E+00   5.85578542E-01
     94  -9.46405199E+00  -8.87687256E+00   5.87179437E-01
     95  -9.47405997E+00  -8.88866784E+00   5.85392134E-01
     96  -9.48388069E+00  -8.90127254E+00   5.82608149E-01
     97  -9.49649186E+00  -8.91347390E+00   5.83017961E-01
     98  -9.50915647E+00  -8.92657181E+00   5.82584665E-01
     99  -9.52205815E+00  -8.93963517E+00   5.82422972E-01
    100  -9.53396630E+00  -8.95315420E+00   5.80812100E-01
    101  -9.54155215E+00  -8.96020398E+00   5.81348171E-01
    102  -9.54925904E+00  -8.96938248E+00   5.79876558E-01
    103  -9.55728292E+00  -8.97718200E+00   5.80100919E-01
    104  -9.56534105E+00  -8.98553921E+00   5.79801840E-01
    105  -9.57370760E+00  -8.99489104E+00   5.78816559E-01
    106  -9.58273481E+00  -9.00194737E+00   5.80787436E-01
    107  -9.59494169E+00  -9.01247424E+00   5.82467452E-01
    108  -9.60609176E+00  -9.02634018E+00   5.79751572E-01
# k =   0.000000   0.500000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.01742136E+01  -9.05959599E+00   1.11461761E+00
# Error est. for CH(vbm) CH(cbm) diff =   7.90932163E-01   7.98769737E-01   7.83757326E-03
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -3.51221384E-01  -1.70924794E-01   1.80296590E-01
      2  -7.02418483E-01  -3.41843367E-01   3.60575116E-01
      3  -1.01496428E+00  -5.78360830E-01   4.36603447E-01
      4  -1.32754163E+00  -8.14886417E-01   5.12655215E-01
      5  -2.21157305E+00  -9.36552534E-01   1.27502051E+00
      6  -3.12385582E+00  -1.04420634E+00   2.07964948E+00
      7  -4.00733257E+00  -1.16627280E+00   2.84105976E+00
      8  -4.92025567E+00  -1.27365810E+00   3.64659756E+00
      9  -5.06135534E+00  -2.08713248E+00   2.97422286E+00
     10  -5.20255415E+00  -2.90060991E+00   2.30194423E+00
     11  -5.39302464E+00  -3.70073972E+00   1.69228492E+00
     12  -5.60171268E+00  -4.47708067E+00   1.12463201E+00
     13  -5.78187464E+00  -4.64819300E+00   1.13368165E+00
     14  -5.98681252E+00  -4.78709322E+00   1.19971930E+00
     15  -6.06124281E+00  -5.01439740E+00   1.04684541E+00
     16  -6.13567171E+00  -5.24166555E+00   8.94006160E-01
     17  -6.27834788E+00  -5.33743526E+00   9.40912615E-01
     18  -6.43812660E+00  -5.42006340E+00   1.01806319E+00
     19  -6.58421416E+00  -5.51320803E+00   1.07100613E+00
     20  -6.74239006E+00  -5.59706368E+00   1.14532639E+00
     21  -6.84787109E+00  -5.72357528E+00   1.12429580E+00
     22  -6.95326584E+00  -5.85008855E+00   1.10317729E+00
     23  -7.06270168E+00  -5.97347036E+00   1.08923132E+00
     24  -7.17214107E+00  -6.09685290E+00   1.07528817E+00
     25  -7.27548881E+00  -6.19546287E+00   1.08002594E+00
     26  -7.37527685E+00  -6.30107560E+00   1.07420126E+00
     27  -7.46914350E+00  -6.39298430E+00   1.07615920E+00
     28  -7.55942833E+00  -6.49169779E+00   1.06773055E+00
     29  -7.61002802E+00  -6.54172512E+00   1.06830290E+00
     30  -7.66061602E+00  -6.59175138E+00   1.06886464E+00
     31  -7.71422812E+00  -6.63842456E+00   1.07580355E+00
     32  -7.76785191E+00  -6.68509882E+00   1.08275309E+00
     33  -7.80916858E+00  -6.73763140E+00   1.07153719E+00
     34  -7.84738585E+00  -6.78557492E+00   1.06181093E+00
     35  -7.88555900E+00  -6.83345996E+00   1.05209904E+00
     36  -7.92686458E+00  -6.88598241E+00   1.04088218E+00
     37  -7.97752723E+00  -6.93743044E+00   1.04009678E+00
     38  -8.02604323E+00  -7.00194401E+00   1.02409922E+00
     39  -8.07628376E+00  -7.05662293E+00   1.01966083E+00
     40  -8.12537617E+00  -7.11791709E+00   1.00745908E+00
     41  -8.15485030E+00  -7.15739536E+00   9.97454939E-01
     42  -8.18434355E+00  -7.19687277E+00   9.87470775E-01
     43  -8.22528575E+00  -7.23817044E+00   9.87115315E-01
     44  -8.26195643E+00  -7.27970592E+00   9.82250513E-01
     45  -8.30688828E+00  -7.31252744E+00   9.94360843E-01
     46  -8.34844740E+00  -7.34553228E+00   1.00291511E+00
     47  -8.39434047E+00  -7.37551666E+00   1.01882381E+00
     48  -8.44001946E+00  -7.40466417E+00   1.03535530E+00
     49  -8.48715737E+00  -7.43102671E+00   1.05613065E+00
     50  -8.53471623E+00  -7.45904355E+00   1.07567269E+00
     51  -8.56330524E+00  -7.48402638E+00   1.07927886E+00
     52  -8.59256538E+00  -7.51166264E+00   1.08090275E+00
     53  -8.62406077E+00  -7.53490207E+00   1.08915869E+00
     54  -8.65483495E+00  -7.55767960E+00   1.09715535E+00
     55  -8.67140051E+00  -7.57562372E+00   1.09577679E+00
     56  -8.68746563E+00  -7.59325234E+00   1.09421329E+00
     57  -8.70531916E+00  -7.61274467E+00   1.09257449E+00
     58  -8.72317501E+00  -7.63216303E+00   1.09101198E+00
     59  -8.74156536E+00  -7.65477861E+00   1.08678675E+00
     60  -8.76038117E+00  -7.67699673E+00   1.08338445E+00
     61  -8.77895842E+00  -7.69721033E+00   1.08174808E+00
     62  -8.79643091E+00  -7.71815459E+00   1.07827631E+00
     63  -8.81364325E+00  -7.73675498E+00   1.07688827E+00
     64  -8.83088740E+00  -7.75535523E+00   1.07553218E+00
     65  -8.84976362E+00  -7.77701284E+00   1.07275078E+00
     66  -8.86765209E+00  -7.79834584E+00   1.06930625E+00
     67  -8.88451061E+00  -7.81743453E+00   1.06707608E+00
     68  -8.90246226E+00  -7.83684320E+00   1.06561906E+00
     69  -8.91761088E+00  -7.85210493E+00   1.06550596E+00
     70  -8.93275947E+00  -7.86736767E+00   1.06539180E+00
     71  -8.94820246E+00  -7.88236581E+00   1.06583665E+00
     72  -8.96347941E+00  -7.89749708E+00   1.06598233E+00
     73  -8.97732735E+00  -7.91188918E+00   1.06543817E+00
     74  -8.99133275E+00  -7.92615374E+00   1.06517901E+00
     75  -9.00649024E+00  -7.94043804E+00   1.06605220E+00
     76  -9.02164728E+00  -7.95472200E+00   1.06692528E+00
     77  -9.03543021E+00  -7.96884846E+00   1.06658175E+00
     78  -9.04927826E+00  -7.98296833E+00   1.06630993E+00
     79  -9.06188686E+00  -7.99573930E+00   1.06614756E+00
     80  -9.07442738E+00  -8.00851727E+00   1.06591011E+00
     81  -9.09025532E+00  -8.01947684E+00   1.07077848E+00
     82  -9.10608341E+00  -8.03043720E+00   1.07564622E+00
     83  -9.12152853E+00  -8.04167657E+00   1.07985195E+00
     84  -9.13721498E+00  -8.05304677E+00   1.08416821E+00
     85  -9.15048231E+00  -8.06256716E+00   1.08791515E+00
     86  -9.16371562E+00  -8.07207010E+00   1.09164552E+00
     87  -9.17709353E+00  -8.08165322E+00   1.09544031E+00
     88  -9.19041849E+00  -8.09120117E+00   1.09921732E+00
     89  -9.20555326E+00  -8.10191052E+00   1.10364274E+00
     90  -9.22065287E+00  -8.11261983E+00   1.10803304E+00
     91  -9.23559200E+00  -8.12167527E+00   1.11391673E+00
     92  -9.24945190E+00  -8.13190728E+00   1.11754462E+00
     93  -9.25784745E+00  -8.13954844E+00   1.11829901E+00
     94  -9.26672856E+00  -8.14661644E+00   1.12011212E+00
     95  -9.27502157E+00  -8.15434149E+00   1.12068007E+00
     96  -9.28333840E+00  -8.16206678E+00   1.12127162E+00
     97  -9.29303080E+00  -8.17069124E+00   1.12233956E+00
     98  -9.30257408E+00  -8.17931914E+00   1.12325493E+00
     99  -9.31248684E+00  -8.18793116E+00   1.12455568E+00
    100  -9.32235177E+00  -8.19654376E+00   1.12580800E+00
    101  -9.32918222E+00  -8.20404289E+00   1.12513933E+00
    102  -9.33600562E+00  -8.21154200E+00   1.12446362E+00
    103  -9.34303571E+00  -8.22012211E+00   1.12291360E+00
    104  -9.35006400E+00  -8.22870201E+00   1.12136199E+00
    105  -9.35768715E+00  -8.23646654E+00   1.12122062E+00
    106  -9.36541269E+00  -8.24403284E+00   1.12137985E+00
    107  -9.37438171E+00  -8.25236082E+00   1.12202089E+00
    108  -9.38328144E+00  -8.26082626E+00   1.12245518E+00
# k =   0.500000   0.500000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.05600438E+01  -9.99416709E+00   5.65876709E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.53299333E-01   9.67179334E-01   1.38800009E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -3.01038242E-01  -2.57056943E-01   4.39812985E-02
      2  -6.07926540E-01  -5.06635084E-01   1.01291456E-01
      3  -8.85676328E-01  -7.54792659E-01   1.30883669E-01
      4  -1.15565585E+00  -1.01289914E+00   1.42756708E-01
      5  -1.52580589E+00  -1.11245409E+00   4.13351794E-01
      6  -1.87760745E+00  -1.22214967E+00   6.55457771E-01
      7  -3.40544190E+00  -1.37434080E+00   2.03110111E+00
      8  -4.94689611E+00  -1.51736375E+00   3.42953236E+00
