# Generated by LORRAX unknown at 2026-07-21 06:20:45 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=24   E_DFT=   -5.398968  Re=   -4.344116  Im=24244.909382
n=25   E_DFT=   -5.398968  Re=   -4.430479  Im= 7919.706600
n=26   E_DFT=   -2.591355  Re=   -3.950701  Im=81197.688891
n=27   E_DFT=   -2.591355  Re=   -3.262179  Im=-140116.540191
n=28   E_DFT=   -2.515375  Re=   -3.987574  Im=-456076.595000
n=29   E_DFT=   -2.515375  Re=   -3.020327  Im=506801.020208
n=30   E_DFT=   -2.347811  Re=   -1.364838  Im=-3121402.938320
n=31   E_DFT=   -2.347811  Re=   -1.530454  Im=3145166.810904
n=32   E_DFT=   -2.339588  Re=   -1.770169  Im=3198377.118840
n=33   E_DFT=   -2.339588  Re=   -1.692807  Im=-3208473.654205
n=34   E_DFT=    1.083633  Re=    2.045102  Im=-1874.959817
n=35   E_DFT=    1.083633  Re=    2.066496  Im= 1894.294225
n=36   E_DFT=    3.734850  Re=    7.002642  Im=  393.099851
n=37   E_DFT=    3.734850  Re=    7.012869  Im=  215.397154
n=38   E_DFT=    3.946919  Re=   17.931159  Im=-4141.582511
n=39   E_DFT=    3.946919  Re=   17.938936  Im= 4235.613605
n=40   E_DFT=    4.785055  Re=   21.929517  Im=  946.304962
n=41   E_DFT=    4.785055  Re=   21.927385  Im= -817.233041
n=42   E_DFT=    5.503172  Re=    5.804376  Im=-225832.379154
n=43   E_DFT=    5.503172  Re=    7.022639  Im=229802.202752
n=44   E_DFT=    5.579950  Re=    7.037435  Im=218059.291571
n=45   E_DFT=    5.579950  Re=    6.063666  Im=-222457.055238
n=46   E_DFT=    7.479930  Re=   11.104029  Im=380071.292798
n=47   E_DFT=    7.479930  Re=   11.064486  Im=-417357.755270
n=48   E_DFT=    7.497363  Re=   10.965294  Im=-411545.768040
n=49   E_DFT=    7.497363  Re=   10.673796  Im=429666.469629
n=50   E_DFT=    7.654692  Re=   18.720930  Im=-60849.129287
n=51   E_DFT=    7.654692  Re=   18.791007  Im=80343.329308
n=52   E_DFT=   10.761649  Re=   15.426806  Im=348117.940493
n=53   E_DFT=   10.761649  Re=   15.497219  Im=-374229.809880
n=54   E_DFT=   10.776236  Re=   15.659626  Im=-148626.093168
n=55   E_DFT=   10.776236  Re=   15.308069  Im=173875.124778
n=56   E_DFT=   10.850507  Re=   14.100470  Im= 3550.760138
n=57   E_DFT=   10.850507  Re=   14.098246  Im=-3231.520262
n=58   E_DFT=   11.100027  Re=   15.327253  Im=-1804670.154258
n=59   E_DFT=   11.100027  Re=   14.874795  Im=1820932.092065
n=60   E_DFT=   11.106968  Re=   14.959035  Im=-1903748.865481
n=61   E_DFT=   11.106968  Re=   14.770165  Im=1888578.025263
n=62   E_DFT=   11.233375  Re=   75.406434  Im= 5043.594699
n=63   E_DFT=   11.233375  Re=   75.409271  Im=-4726.144867
n=64   E_DFT=   14.035511  Re=  146.359785  Im=-1697.614040
n=65   E_DFT=   14.035511  Re=  146.280787  Im= 2164.997709
n=66   E_DFT=   14.277797  Re=   95.298355  Im=15246.261864
n=67   E_DFT=   14.277797  Re=   95.304611  Im=-13961.647628
n=68   E_DFT=   14.661947  Re=   91.389903  Im=26336.392824
n=69   E_DFT=   14.661947  Re=   91.313103  Im=-23743.709335
n=70   E_DFT=   16.071643  Re=  186.938086  Im=-1073.181531
n=71   E_DFT=   16.071643  Re=  186.918562  Im= 1147.869576
n=72   E_DFT=   18.061621  Re=   23.820016  Im=195852.509717
n=73   E_DFT=   18.061621  Re=   21.608428  Im=-175763.703747
n=74   E_DFT=   18.238654  Re=   22.636738  Im=-50764.627840
n=75   E_DFT=   18.238654  Re=   23.059870  Im=30089.786396
n=76   E_DFT=   20.596833  Re=   85.327370  Im= 3875.210279
n=77   E_DFT=   20.596833  Re=   85.241576  Im=-6135.226791
n=78   E_DFT=   20.823270  Re=   28.520778  Im=250242.732885
n=79   E_DFT=   20.823270  Re=   28.979585  Im=-276123.032692
n=80   E_DFT=   20.838623  Re=   28.579709  Im=253187.544129
n=81   E_DFT=   20.838623  Re=   28.912287  Im=-225467.309330
n=82   E_DFT=   21.148651  Re=  200.871244  Im= 8503.189052
n=83   E_DFT=   21.148651  Re=  200.910544  Im=-8307.370914
n=84   E_DFT=   21.801451  Re=   88.664771  Im=15837.455205
n=85   E_DFT=   21.801451  Re=   88.741957  Im=-15928.269113
n=86   E_DFT=   22.264416  Re=   31.418657  Im=1230628.594946
n=87   E_DFT=   22.264416  Re=   32.018876  Im=-1227822.279230
n=88   E_DFT=   22.311075  Re=   31.865926  Im=-1579601.023846
n=89   E_DFT=   22.311075  Re=   31.069512  Im=1577071.997908
n=90   E_DFT=   22.988316  Re=   56.038688  Im= -195.744548
