# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.78111523E+00  -9.18367045E+00   5.97444781E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.15543037E+00   1.22023060E+00   6.48002333E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     14  -5.72900426E+00  -4.89131240E+00   8.37691866E-01
     15  -5.88658117E+00  -5.06318811E+00   8.23393064E-01
     16  -6.04341437E+00  -5.23506752E+00   8.08346853E-01
     17  -6.18872930E+00  -5.35358319E+00   8.35146114E-01
     18  -6.33388029E+00  -5.47209778E+00   8.61782512E-01
     19  -6.47458648E+00  -5.59948980E+00   8.75096683E-01
     20  -6.61597787E+00  -5.72688432E+00   8.89093553E-01
     21  -6.70556957E+00  -5.86620693E+00   8.39362642E-01
     22  -6.79528292E+00  -6.00552957E+00   7.89753345E-01
     23  -6.89987175E+00  -6.09665762E+00   8.03214129E-01
     24  -7.00582887E+00  -6.18778601E+00   8.18042861E-01
     25  -7.07712768E+00  -6.28417041E+00   7.92957271E-01
     26  -7.15222658E+00  -6.38053839E+00   7.71688194E-01
     27  -7.21741814E+00  -6.46258921E+00   7.54828937E-01
     28  -7.28080981E+00  -6.54464794E+00   7.36161877E-01
     29  -7.34096698E+00  -6.60683292E+00   7.34134058E-01
     30  -7.40072727E+00  -6.66901735E+00   7.31709912E-01
     31  -7.46910612E+00  -6.72531595E+00   7.43790175E-01
     32  -7.53774240E+00  -6.78161490E+00   7.56127501E-01
     33  -7.59750279E+00  -6.83587449E+00   7.61628292E-01
     34  -7.65690650E+00  -6.89013045E+00   7.66776051E-01
     35  -7.70505562E+00  -6.93697817E+00   7.68077452E-01
     36  -7.75333533E+00  -6.98382773E+00   7.69507607E-01
     37  -7.79709651E+00  -7.02769349E+00   7.69403027E-01
     38  -7.84246967E+00  -7.07155333E+00   7.70916343E-01
     39  -7.88833405E+00  -7.11453142E+00   7.73802622E-01
     40  -7.93519006E+00  -7.15751004E+00   7.77680023E-01
     41  -7.96966333E+00  -7.19695968E+00   7.72703649E-01
     42  -8.00438163E+00  -7.23641151E+00   7.67970119E-01
     43  -8.04385399E+00  -7.27466831E+00   7.69185672E-01
     44  -8.08285887E+00  -7.31292032E+00   7.69938550E-01
     45  -8.11576430E+00  -7.34601724E+00   7.69747056E-01
     46  -8.14877141E+00  -7.37911417E+00   7.69657241E-01
     47  -8.17319954E+00  -7.40700376E+00   7.66195778E-01
     48  -8.19780234E+00  -7.43489336E+00   7.62908981E-01
     49  -8.23389781E+00  -7.46261067E+00   7.71287146E-01
     50  -8.26994305E+00  -7.49032790E+00   7.79615150E-01
     51  -8.29969860E+00  -7.51591064E+00   7.83787961E-01
     52  -8.32929532E+00  -7.54149330E+00   7.87802024E-01
     53  -8.35662961E+00  -7.56734453E+00   7.89285075E-01
     54  -8.38398003E+00  -7.59320652E+00   7.90773506E-01
     55  -8.40412594E+00  -7.61702814E+00   7.87097803E-01
     56  -8.42421464E+00  -7.64087615E+00   7.83338490E-01
     57  -8.44275946E+00  -7.65943437E+00   7.83325086E-01
     58  -8.46146690E+00  -7.67805401E+00   7.83412896E-01
     59  -8.47940160E+00  -7.69688060E+00   7.82520995E-01
     60  -8.49729233E+00  -7.71569049E+00   7.81601840E-01
# k =  -0.000000   0.250000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.52068259E+00  -8.69539588E+00   8.25286708E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.00133575E+00   1.08922373E+00   8.78879853E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -3.14752628E-01  -1.71258557E-01   1.43494071E-01
