# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=11  sigSX=   -5.526139              sigCOH=    0.000000              sigTOT=   -5.526139              VH=    2.295777+ -0.000000i
n=12  sigSX=   -5.526197              sigCOH=    0.000000              sigTOT=   -5.526197              VH=    2.295818+ -0.000000i
n=13  sigSX=   -5.526212              sigCOH=    0.000000              sigTOT=   -5.526212              VH=    2.295676+  0.000000i
n=14  sigSX=   -4.856345              sigCOH=    0.000000              sigTOT=   -4.856345              VH=    3.997458+  0.000000i
n=15  sigSX=   -4.856345              sigCOH=    0.000000              sigTOT=   -4.856345              VH=    3.997458+  0.000000i
n=16  sigSX=   -4.124827              sigCOH=    0.000000              sigTOT=   -4.124827              VH=    1.306301+  0.000000i
n=17  sigSX=   -4.124841              sigCOH=    0.000000              sigTOT=   -4.124841              VH=    1.306615+  0.000000i
n=18  sigSX=   -4.124819              sigCOH=    0.000000              sigTOT=   -4.124819              VH=    1.307097+ -0.000000i
n=19  sigSX=   -4.124816              sigCOH=    0.000000              sigTOT=   -4.124816              VH=    1.306629+  0.000000i
n=20  sigSX=   -2.284953              sigCOH=    0.000000              sigTOT=   -2.284953              VH=   -1.284875+ -0.000000i
n=21  sigSX=   -2.284953              sigCOH=    0.000000              sigTOT=   -2.284953              VH=   -1.284875+ -0.000000i
n=22  sigSX=   -2.530842              sigCOH=    0.000000              sigTOT=   -2.530842              VH=    0.354538+  0.000000i
n=23  sigSX=   -2.530842              sigCOH=    0.000000              sigTOT=   -2.530842              VH=    0.354538+  0.000000i
n=24  sigSX=   -2.529617              sigCOH=    0.000000              sigTOT=   -2.529617              VH=    1.037874+ -0.000000i
n=25  sigSX=   -2.529735              sigCOH=    0.000000              sigTOT=   -2.529735              VH=    1.036698+ -0.000000i
n=26  sigSX=   -2.529737              sigCOH=    0.000000              sigTOT=   -2.529737              VH=    1.036065+  0.000000i
n=27  sigSX=   -2.529726              sigCOH=    0.000000              sigTOT=   -2.529726              VH=    1.035755+ -0.000000i
n=28  sigSX=   -2.620018              sigCOH=    0.000000              sigTOT=   -2.620018              VH=    1.193192+  0.000000i
n=29  sigSX=   -2.620049              sigCOH=    0.000000              sigTOT=   -2.620049              VH=    1.192890+  0.000000i
n=30  sigSX=   -2.620053              sigCOH=    0.000000              sigTOT=   -2.620053              VH=    1.192802+  0.000000i
n=31  sigSX=   -2.620080              sigCOH=    0.000000              sigTOT=   -2.620080              VH=    1.194186+ -0.000000i
n=32  sigSX=   -2.350679              sigCOH=    0.000000              sigTOT=   -2.350679              VH=    2.451359+  0.000000i
n=33  sigSX=   -2.350679              sigCOH=    0.000000              sigTOT=   -2.350679              VH=    2.451359+  0.000000i
n=34  sigSX=   -1.439555              sigCOH=    0.000000              sigTOT=   -1.439555              VH=   -1.112305+ -0.000000i
n=35  sigSX=   -1.439555              sigCOH=    0.000000              sigTOT=   -1.439555              VH=   -1.112305+ -0.000000i
n=36  sigSX=   -2.225285              sigCOH=    0.000000              sigTOT=   -2.225285              VH=    3.711214+  0.000000i
n=37  sigSX=   -2.225248              sigCOH=    0.000000              sigTOT=   -2.225248              VH=    3.711202+  0.000000i
n=38  sigSX=   -2.225330              sigCOH=    0.000000              sigTOT=   -2.225330              VH=    3.707593+ -0.000000i
n=39  sigSX=   -2.225274              sigCOH=    0.000000              sigTOT=   -2.225274              VH=    3.710192+  0.000000i
n=40  sigSX=   -2.301691              sigCOH=    0.000000              sigTOT=   -2.301691              VH=    3.807247+  0.000001i
n=41  sigSX=   -2.301727              sigCOH=    0.000000              sigTOT=   -2.301727              VH=    3.805656+  0.000000i
n=42  sigSX=   -2.301685              sigCOH=    0.000000              sigTOT=   -2.301685              VH=    3.804648+ -0.000001i
n=43  sigSX=   -2.301711              sigCOH=    0.000000              sigTOT=   -2.301711              VH=    3.805054+ -0.000000i
n=44  sigSX=   -2.164018              sigCOH=    0.000000              sigTOT=   -2.164018              VH=    4.132502+ -0.000000i
n=45  sigSX=   -2.164018              sigCOH=    0.000000              sigTOT=   -2.164018              VH=    4.132502+ -0.000000i
n=46  sigSX=   -1.583186              sigCOH=    0.000000              sigTOT=   -1.583186              VH=    1.082224+ -0.000000i
n=47  sigSX=   -1.583186              sigCOH=    0.000000              sigTOT=   -1.583186              VH=    1.082224+ -0.000000i
n=48  sigSX=   -2.245435              sigCOH=    0.000000              sigTOT=   -2.245435              VH=    1.781585+ -0.000000i
n=49  sigSX=   -2.245435              sigCOH=    0.000000              sigTOT=   -2.245435              VH=    1.781585+ -0.000000i
n=50  sigSX=   -1.536069              sigCOH=    0.000000              sigTOT=   -1.536069              VH=    0.269863+  0.000001i
n=51  sigSX=   -1.536015              sigCOH=    0.000000              sigTOT=   -1.536015              VH=    0.275180+ -0.000001i
n=52  sigSX=   -1.535940              sigCOH=    0.000000              sigTOT=   -1.535940              VH=    0.277798+ -0.000001i
n=53  sigSX=   -1.536064              sigCOH=    0.000000              sigTOT=   -1.536064              VH=    0.270327+  0.000001i
n=54  sigSX=   -1.356495              sigCOH=    0.000000              sigTOT=   -1.356495              VH=    0.653828+ -0.000001i
n=55  sigSX=   -1.356463              sigCOH=    0.000000              sigTOT=   -1.356463              VH=    0.661370+ -0.000000i
n=56  sigSX=   -1.356488              sigCOH=    0.000000              sigTOT=   -1.356488              VH=    0.654022+  0.000004i
n=57  sigSX=   -1.356447              sigCOH=    0.000000              sigTOT=   -1.356447              VH=    0.659059+ -0.000003i
n=58  sigSX=   -1.500540              sigCOH=    0.000000              sigTOT=   -1.500540              VH=    0.594260+  0.000001i
