# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.55905759E+00  -7.99330345E+00   5.65754139E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.16098839E+00   1.26239131E+00   1.01402923E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     55  -7.28371616E+00  -6.77036145E+00   5.13354704E-01
     56  -7.30443686E+00  -6.79723876E+00   5.07198098E-01
     57  -7.32397481E+00  -6.81829686E+00   5.05677948E-01
     58  -7.34335343E+00  -6.83925851E+00   5.04094913E-01
     59  -7.36323796E+00  -6.85931758E+00   5.03920378E-01
     60  -7.38318134E+00  -6.87903473E+00   5.04146617E-01
# k =   0.000000   0.250000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.27797776E+00  -7.58713627E+00   6.90841486E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.02364710E+00   1.11242097E+00   8.87738682E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.93042078E-01  -1.90339694E-01   1.02702385E-01
      2  -5.85714889E-01  -3.81214948E-01   2.04499941E-01
      3  -1.00721646E+00  -5.83883730E-01   4.23332733E-01
      4  -1.42806921E+00  -7.86877226E-01   6.41191986E-01
      5  -1.91226807E+00  -1.04924499E+00   8.63023088E-01
      6  -2.35194873E+00  -1.31757497E+00   1.03437376E+00
      7  -2.84393485E+00  -1.47975188E+00   1.36418297E+00
      8  -3.33660313E+00  -1.64316872E+00   1.69343441E+00
      9  -3.49575441E+00  -2.05345892E+00   1.44229549E+00
     10  -3.64793538E+00  -2.46215373E+00   1.18578166E+00
     11  -3.85767401E+00  -2.84327867E+00   1.01439534E+00
     12  -4.08175179E+00  -3.15393725E+00   9.27814541E-01
     13  -4.29151719E+00  -3.39802734E+00   8.93489850E-01
     14  -4.48714798E+00  -3.64755816E+00   8.39589824E-01
     15  -4.64050543E+00  -3.81096505E+00   8.29540377E-01
     16  -4.79721102E+00  -3.99335490E+00   8.03856126E-01
     17  -4.94565478E+00  -4.12473628E+00   8.20918508E-01
     18  -5.09690556E+00  -4.23664847E+00   8.60257096E-01
     19  -5.23366335E+00  -4.35895976E+00   8.74703594E-01
     20  -5.36936865E+00  -4.48486542E+00   8.84503231E-01
     21  -5.46241972E+00  -4.62841785E+00   8.34001872E-01
     22  -5.55735957E+00  -4.76380823E+00   7.93551334E-01
     23  -5.66039093E+00  -4.85576236E+00   8.04628576E-01
     24  -5.76255509E+00  -4.94667438E+00   8.15880705E-01
     25  -5.83395915E+00  -5.04384434E+00   7.90114817E-01
     26  -5.90446129E+00  -5.14019230E+00   7.64268990E-01
     27  -5.96964090E+00  -5.22205464E+00   7.47586266E-01
     28  -6.03567263E+00  -5.30222449E+00   7.33448143E-01
     29  -6.09749209E+00  -5.36550012E+00   7.31991978E-01
     30  -6.15825949E+00  -5.42595009E+00   7.32309402E-01
     31  -6.22677663E+00  -5.48370440E+00   7.43072227E-01
     32  -6.29352154E+00  -5.53970665E+00   7.53814887E-01
     33  -6.35199852E+00  -5.59404652E+00   7.57951998E-01
     34  -6.41178471E+00  -5.64806065E+00   7.63724061E-01
     35  -6.45965401E+00  -5.69512834E+00   7.64525670E-01
     36  -6.50925266E+00  -5.74196601E+00   7.67286656E-01
     37  -6.55549247E+00  -5.78601298E+00   7.69479491E-01
     38  -6.60116164E+00  -5.83082752E+00   7.70334121E-01
     39  -6.64664096E+00  -5.87281051E+00   7.73830452E-01
     40  -6.69173836E+00  -5.91590796E+00   7.75830400E-01
     41  -6.72827067E+00  -5.95611873E+00   7.72151933E-01
     42  -6.76342201E+00  -5.99441099E+00   7.69011019E-01
     43  -6.80292091E+00  -6.03345200E+00   7.69468910E-01
     44  -6.84065136E+00  -6.07048604E+00   7.70165318E-01
     45  -6.87339258E+00  -6.10383832E+00   7.69554261E-01
     46  -6.90574994E+00  -6.13701184E+00   7.68738100E-01
     47  -6.93077998E+00  -6.16470135E+00   7.66078634E-01
     48  -6.95539993E+00  -6.19217331E+00   7.63226624E-01
     49  -6.99129309E+00  -6.22046049E+00   7.70832592E-01
     50  -7.02655156E+00  -6.24792908E+00   7.78622482E-01
     51  -7.05697600E+00  -6.27366557E+00   7.83310430E-01
     52  -7.08646751E+00  -6.29933182E+00   7.87135682E-01
     53  -7.11334279E+00  -6.32556975E+00   7.87773037E-01
     54  -7.14059209E+00  -6.35111298E+00   7.89479117E-01
     55  -7.16137015E+00  -6.37514840E+00   7.86221750E-01
     56  -7.18096429E+00  -6.39908522E+00   7.81879064E-01
     57  -7.19953981E+00  -6.41732983E+00   7.82209984E-01
     58  -7.21845098E+00  -6.43573631E+00   7.82714667E-01
     59  -7.23618109E+00  -6.45495225E+00   7.81228845E-01
     60  -7.25433066E+00  -6.47471531E+00   7.79615354E-01
# k =  -0.000000   0.250000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.27825726E+00  -7.46517457E+00   8.13082690E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.00346584E+00   1.09922604E+00   9.57601997E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -3.20992515E-01  -1.68675235E-01   1.52317280E-01
      2  -6.42798167E-01  -3.38869541E-01   3.03928626E-01
      3  -1.00625081E+00  -5.31631362E-01   4.74619451E-01
      4  -1.37452863E+00  -7.25294683E-01   6.49233951E-01
      5  -1.89626076E+00  -9.55799679E-01   9.40461084E-01
      6  -2.40892419E+00  -1.19557272E+00   1.21335147E+00
      7  -2.89434201E+00  -1.34222063E+00   1.55212138E+00
      8  -3.41866007E+00  -1.51576164E+00   1.90289842E+00
      9  -3.56574591E+00  -1.85247643E+00   1.71326948E+00
     10  -3.72112709E+00  -2.23113776E+00   1.48998933E+00
     11  -3.92394795E+00  -2.60380606E+00   1.32014189E+00
     12  -4.14465754E+00  -2.92331383E+00   1.22134371E+00
     13  -4.34948506E+00  -3.12339382E+00   1.22609124E+00
     14  -4.54647180E+00  -3.36320015E+00   1.18327166E+00
     15  -4.71134546E+00  -3.58314729E+00   1.12819817E+00
     16  -4.88144355E+00  -3.82359570E+00   1.05784785E+00
     17  -5.01670043E+00  -3.98280319E+00   1.03389724E+00
     18  -5.15848734E+00  -4.12488854E+00   1.03359881E+00
     19  -5.30183247E+00  -4.24746229E+00   1.05437018E+00
     20  -5.43967057E+00  -4.37647860E+00   1.06319197E+00
     21  -5.52858637E+00  -4.49709308E+00   1.03149329E+00
     22  -5.61843825E+00  -4.61117071E+00   1.00726754E+00
     23  -5.71082775E+00  -4.70979926E+00   1.00102849E+00
     24  -5.80355568E+00  -4.80685509E+00   9.96700583E-01
     25  -5.87531414E+00  -4.91351577E+00   9.61798374E-01
     26  -5.94454780E+00  -5.01489752E+00   9.29650284E-01
     27  -6.00735738E+00  -5.09127405E+00   9.16083334E-01
     28  -6.07240404E+00  -5.16523391E+00   9.07170132E-01
     29  -6.13439411E+00  -5.23240846E+00   9.01985646E-01
     30  -6.19549166E+00  -5.29756873E+00   8.97922931E-01
     31  -6.26175691E+00  -5.35608589E+00   9.05671018E-01
     32  -6.32578462E+00  -5.41107974E+00   9.14704876E-01
     33  -6.38505632E+00  -5.46836540E+00   9.16690914E-01
     34  -6.44527917E+00  -5.52662331E+00   9.18655852E-01
     35  -6.49325597E+00  -5.57993574E+00   9.13320234E-01
     36  -6.54171577E+00  -5.63195333E+00   9.09762443E-01
     37  -6.58773983E+00  -5.68219732E+00   9.05542513E-01
     38  -6.63354403E+00  -5.73295719E+00   9.00586834E-01
     39  -6.67810346E+00  -5.77292278E+00   9.05180678E-01
     40  -6.72272793E+00  -5.81406415E+00   9.08663783E-01
     41  -6.75667455E+00  -5.84965792E+00   9.07016633E-01
     42  -6.79146791E+00  -5.88649927E+00   9.04968640E-01
     43  -6.82916377E+00  -5.92217319E+00   9.06990580E-01
     44  -6.86715292E+00  -5.95937296E+00   9.07779953E-01
     45  -6.89938595E+00  -5.99187992E+00   9.07506030E-01
     46  -6.93112869E+00  -6.02429007E+00   9.06838623E-01
     47  -6.95661910E+00  -6.05350379E+00   9.03115311E-01
     48  -6.98098476E+00  -6.08182235E+00   8.99162413E-01
     49  -7.01684391E+00  -6.11078333E+00   9.06060582E-01
     50  -7.05207165E+00  -6.14032659E+00   9.11745058E-01
     51  -7.08152077E+00  -6.16591215E+00   9.15608617E-01
     52  -7.10917726E+00  -6.19168702E+00   9.17490241E-01
     53  -7.13553004E+00  -6.21757001E+00   9.17960035E-01
     54  -7.16329521E+00  -6.24381230E+00   9.19482912E-01
     55  -7.18282409E+00  -6.26652583E+00   9.16298258E-01
     56  -7.20226366E+00  -6.29013160E+00   9.12132057E-01
     57  -7.22025271E+00  -6.30842508E+00   9.11827628E-01
     58  -7.23828694E+00  -6.32720972E+00   9.11077216E-01
     59  -7.25629235E+00  -6.34636681E+00   9.09925539E-01
     60  -7.27479142E+00  -6.36594853E+00   9.08842890E-01
# k =  -0.000000   0.250000   0.750000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.39765879E+00  -7.69540906E+00   7.02249723E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.06927907E+00   1.19484871E+00   1.25569641E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.80974671E-01  -1.68876200E-01   1.12098471E-01
      2  -5.61881974E-01  -3.38293220E-01   2.23588754E-01
      3  -9.38136778E-01  -5.33494543E-01   4.04642235E-01
      4  -1.31322542E+00  -7.27280027E-01   5.85945398E-01
      5  -1.81124866E+00  -9.48731280E-01   8.62517382E-01
      6  -2.27696451E+00  -1.17221393E+00   1.10475058E+00
      7  -2.78391938E+00  -1.32824565E+00   1.45567373E+00
      8  -3.31525618E+00  -1.50202912E+00   1.81322706E+00
      9  -3.44698803E+00  -1.81982181E+00   1.62716622E+00
     10  -3.58940036E+00  -2.15679193E+00   1.43260843E+00
     11  -3.76091673E+00  -2.43962716E+00   1.32128957E+00
