# Generated by LORRAX 0.1.0 at 2026-05-06 01:45:58 UTC
# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=14  sigSX=   -2.026885              sigCOH=   -5.681257+  0.000000i  sigTOT=   -7.708142+  0.000000i  VH=    3.943895+ -0.001777i
n=15  sigSX=   -2.026885              sigCOH=   -5.681257+  0.000000i  sigTOT=   -7.708142+  0.000000i  VH=    3.943895+ -0.001777i

k-point 4:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.511197+ -0.000000i  sigCOH=   -7.794170+  0.000000i  sigTOT=  -12.305367+ -0.000000i  VH=    4.584588+ -0.010625i
n=1   sigSX=   -4.511197+ -0.000000i  sigCOH=   -7.794170+  0.000000i  sigTOT=  -12.305367+ -0.000000i  VH=    4.584588+ -0.010625i
n=2   sigSX=   -3.828593+ -0.000000i  sigCOH=   -7.361020+  0.000000i  sigTOT=  -11.189613+  0.000000i  VH=    2.921544+ -0.017965i
n=3   sigSX=   -3.828593+ -0.000000i  sigCOH=   -7.361020+  0.000000i  sigTOT=  -11.189613+  0.000000i  VH=    2.921544+ -0.017965i
n=4   sigSX=   -4.192010+ -0.000000i  sigCOH=   -7.055522+  0.000000i  sigTOT=  -11.247532+ -0.000000i  VH=    5.041403+ -0.005211i
n=5   sigSX=   -4.192010+ -0.000000i  sigCOH=   -7.055522+  0.000000i  sigTOT=  -11.247532+ -0.000000i  VH=    5.041403+ -0.005211i
n=6   sigSX=   -4.188958+ -0.000000i  sigCOH=   -6.934915+  0.000000i  sigTOT=  -11.123872+ -0.000000i  VH=    5.042541+ -0.004356i
n=7   sigSX=   -4.188958+ -0.000000i  sigCOH=   -6.934915+  0.000000i  sigTOT=  -11.123872+ -0.000000i  VH=    5.042541+ -0.004356i
n=8   sigSX=   -2.292242+ -0.000000i  sigCOH=   -6.493082+  0.000000i  sigTOT=   -8.785325+  0.000000i  VH=    2.883091+ -0.016967i
n=9   sigSX=   -2.292242+ -0.000000i  sigCOH=   -6.493082+  0.000000i  sigTOT=   -8.785325+  0.000000i  VH=    2.883091+ -0.016967i
n=10  sigSX=   -1.974680+  0.000000i  sigCOH=   -6.018670+  0.000000i  sigTOT=   -7.993350+  0.000000i  VH=    1.362423+  0.009219i
n=11  sigSX=   -1.974680+  0.000000i  sigCOH=   -6.018670+  0.000000i  sigTOT=   -7.993350+  0.000000i  VH=    1.362423+  0.009219i
n=12  sigSX=   -1.973388+  0.000000i  sigCOH=   -5.898903+  0.000000i  sigTOT=   -7.872291+  0.000000i  VH=    1.353623+  0.008739i
n=13  sigSX=   -1.973388+  0.000000i  sigCOH=   -5.898903+  0.000000i  sigTOT=   -7.872291+  0.000000i  VH=    1.353623+  0.008739i
n=14  sigSX=   -1.334172+ -0.000000i  sigCOH=   -4.593668+  0.000000i  sigTOT=   -5.927840+  0.000000i  VH=   -3.115600+  0.005155i
n=15  sigSX=   -1.334172+ -0.000000i  sigCOH=   -4.593668+  0.000000i  sigTOT=   -5.927840+  0.000000i  VH=   -3.115600+  0.005155i

k-point 5:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.334702+ -0.000000i  sigCOH=   -7.668139+  0.000000i  sigTOT=  -12.002841+ -0.000000i  VH=    4.574833+ -0.002777i
n=1   sigSX=   -4.334702+ -0.000000i  sigCOH=   -7.668139+  0.000000i  sigTOT=  -12.002841+ -0.000000i  VH=    4.574833+ -0.002777i
n=2   sigSX=   -4.334702+ -0.000000i  sigCOH=   -7.668139+  0.000000i  sigTOT=  -12.002841+ -0.000000i  VH=    4.574833+ -0.002777i
n=3   sigSX=   -4.334702+ -0.000000i  sigCOH=   -7.668139+  0.000000i  sigTOT=  -12.002841+ -0.000000i  VH=    4.574833+ -0.002777i
n=4   sigSX=   -3.909053+ -0.000000i  sigCOH=   -6.988820+  0.000000i  sigTOT=  -10.897873              VH=    3.802021+ -0.001435i
n=5   sigSX=   -3.909053+ -0.000000i  sigCOH=   -6.988820+  0.000000i  sigTOT=  -10.897873              VH=    3.802021+ -0.001435i
n=6   sigSX=   -3.909053+ -0.000000i  sigCOH=   -6.988820+  0.000000i  sigTOT=  -10.897873              VH=    3.802021+ -0.001435i
n=7   sigSX=   -3.909053+ -0.000000i  sigCOH=   -6.988820+  0.000000i  sigTOT=  -10.897873              VH=    3.802021+ -0.001435i
n=8   sigSX=   -1.904073+ -0.000000i  sigCOH=   -6.051216+  0.000000i  sigTOT=   -7.955289+  0.000000i  VH=   -0.173710+  0.005154i
n=9   sigSX=   -1.904073+ -0.000000i  sigCOH=   -6.051216+  0.000000i  sigTOT=   -7.955289+  0.000000i  VH=   -0.173710+  0.005154i
n=10  sigSX=   -1.904073+ -0.000000i  sigCOH=   -6.051216+  0.000000i  sigTOT=   -7.955289+  0.000000i  VH=   -0.173710+  0.005154i
n=11  sigSX=   -1.904073+ -0.000000i  sigCOH=   -6.051216+  0.000000i  sigTOT=   -7.955289+  0.000000i  VH=   -0.173710+  0.005154i
n=12  sigSX=   -2.036011+  0.000000i  sigCOH=   -5.657135+  0.000000i  sigTOT=   -7.693146+  0.000000i  VH=    3.952259+  0.001852i
n=13  sigSX=   -2.036011+  0.000000i  sigCOH=   -5.657135+  0.000000i  sigTOT=   -7.693146+  0.000000i  VH=    3.952259+  0.001852i
n=14  sigSX=   -2.036011+  0.000000i  sigCOH=   -5.657135+  0.000000i  sigTOT=   -7.693146+  0.000000i  VH=    3.952259+  0.001852i
n=15  sigSX=   -2.036011+  0.000000i  sigCOH=   -5.657135+  0.000000i  sigTOT=   -7.693146+  0.000000i  VH=    3.952259+  0.001852i

k-point 6:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.331934+ -0.000000i  sigCOH=   -7.673597+  0.000000i  sigTOT=  -12.005530+ -0.000000i  VH=    4.613836+  0.011296i
n=1   sigSX=   -4.331934+ -0.000000i  sigCOH=   -7.673597+  0.000000i  sigTOT=  -12.005530+ -0.000000i  VH=    4.613836+  0.011296i
n=2   sigSX=   -4.331934+ -0.000000i  sigCOH=   -7.673597+  0.000000i  sigTOT=  -12.005530+ -0.000000i  VH=    4.613836+  0.011296i
n=3   sigSX=   -4.331934+ -0.000000i  sigCOH=   -7.673597+  0.000000i  sigTOT=  -12.005530+ -0.000000i  VH=    4.613836+  0.011296i
n=4   sigSX=   -3.915914+ -0.000000i  sigCOH=   -6.989146+  0.000000i  sigTOT=  -10.905060+ -0.000000i  VH=    3.769402+ -0.002577i
n=5   sigSX=   -3.915914+ -0.000000i  sigCOH=   -6.989146+  0.000000i  sigTOT=  -10.905060+ -0.000000i  VH=    3.769402+ -0.002577i
n=6   sigSX=   -3.915914+ -0.000000i  sigCOH=   -6.989146+  0.000000i  sigTOT=  -10.905060+ -0.000000i  VH=    3.769402+ -0.002577i
n=7   sigSX=   -3.915914+ -0.000000i  sigCOH=   -6.989146+  0.000000i  sigTOT=  -10.905060+ -0.000000i  VH=    3.769402+ -0.002577i
n=8   sigSX=   -1.910241+ -0.000000i  sigCOH=   -5.848195+  0.000000i  sigTOT=   -7.758436+  0.000000i  VH=   -0.164526+ -0.006982i
n=9   sigSX=   -1.910241+ -0.000000i  sigCOH=   -5.848195+  0.000000i  sigTOT=   -7.758436+  0.000000i  VH=   -0.164526+ -0.006982i
n=10  sigSX=   -1.910241+ -0.000000i  sigCOH=   -5.848195+  0.000000i  sigTOT=   -7.758436+  0.000000i  VH=   -0.164526+ -0.006982i
n=11  sigSX=   -1.910241+ -0.000000i  sigCOH=   -5.848195+  0.000000i  sigTOT=   -7.758436+  0.000000i  VH=   -0.164526+ -0.006982i
n=12  sigSX=   -1.982142+  0.000000i  sigCOH=   -5.962566+  0.000000i  sigTOT=   -7.944709+  0.000000i  VH=    3.949909+  0.001800i
n=13  sigSX=   -1.982142+  0.000000i  sigCOH=   -5.962566+  0.000000i  sigTOT=   -7.944709+  0.000000i  VH=    3.949909+  0.001800i
n=14  sigSX=   -1.982142+  0.000000i  sigCOH=   -5.962566+  0.000000i  sigTOT=   -7.944709+  0.000000i  VH=    3.949909+  0.001800i
n=15  sigSX=   -1.982142+  0.000000i  sigCOH=   -5.962566+  0.000000i  sigTOT=   -7.944709+  0.000000i  VH=    3.949909+  0.001800i

k-point 7:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.478861+ -0.000000i  sigCOH=   -7.820293+  0.000000i  sigTOT=  -12.299154+ -0.000000i  VH=    4.577283+ -0.001985i
n=1   sigSX=   -4.478861+ -0.000000i  sigCOH=   -7.820293+  0.000000i  sigTOT=  -12.299154+ -0.000000i  VH=    4.577283+ -0.001985i
n=2   sigSX=   -3.915236+ -0.000000i  sigCOH=   -7.281117+  0.000000i  sigTOT=  -11.196353+ -0.000000i  VH=    2.921944+  0.002449i
n=3   sigSX=   -3.915236+ -0.000000i  sigCOH=   -7.281117+  0.000000i  sigTOT=  -11.196353+ -0.000000i  VH=    2.921944+  0.002449i
n=4   sigSX=   -4.152334+ -0.000000i  sigCOH=   -7.042580+  0.000000i  sigTOT=  -11.194914+ -0.000000i  VH=    5.031351+  0.000851i
n=5   sigSX=   -4.152334+ -0.000000i  sigCOH=   -7.042580+  0.000000i  sigTOT=  -11.194914+ -0.000000i  VH=    5.031351+  0.000851i
n=6   sigSX=   -4.149125+ -0.000000i  sigCOH=   -6.991621+  0.000000i  sigTOT=  -11.140746+ -0.000000i  VH=    5.031388+  0.002252i
n=7   sigSX=   -4.149125+ -0.000000i  sigCOH=   -6.991621+  0.000000i  sigTOT=  -11.140746+ -0.000000i  VH=    5.031388+  0.002252i
n=8   sigSX=   -2.297157              sigCOH=   -6.456532+  0.000000i  sigTOT=   -8.753689+  0.000000i  VH=    2.874573+  0.008441i
n=9   sigSX=   -2.297157              sigCOH=   -6.456532+  0.000000i  sigTOT=   -8.753689+  0.000000i  VH=    2.874573+  0.008441i
n=10  sigSX=   -1.971459+ -0.000000i  sigCOH=   -5.984474              sigTOT=   -7.955932+ -0.000000i  VH=    1.359477+ -0.001545i
n=11  sigSX=   -1.971459+ -0.000000i  sigCOH=   -5.984474              sigTOT=   -7.955932+ -0.000000i  VH=    1.359477+ -0.001545i
n=12  sigSX=   -1.970204+ -0.000000i  sigCOH=   -5.952110+  0.000000i  sigTOT=   -7.922314+  0.000000i  VH=    1.352336+ -0.004328i
n=13  sigSX=   -1.970204+ -0.000000i  sigCOH=   -5.952110+  0.000000i  sigTOT=   -7.922314+  0.000000i  VH=    1.352336+ -0.004328i
n=14  sigSX=   -1.314588+ -0.000000i  sigCOH=   -4.770251+ -0.000000i  sigTOT=   -6.084839+ -0.000000i  VH=   -3.111943+ -0.000289i
n=15  sigSX=   -1.314588+ -0.000000i  sigCOH=   -4.770251+ -0.000000i  sigTOT=   -6.084839+ -0.000000i  VH=   -3.111943+ -0.000289i
