
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  =  1
 mtrx01 =  1  0  0  0  1  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
  14   16.360897211   16.360897211   -3.769921622    1.892339501   -9.544850099  -11.422432220   27.465362154   16.042929934   16.042929934   -7.749903152   -9.627485274   17.837876880   17.837876880    1.000000000
  15   16.360897211   16.360897211   -3.769921622    1.892339501   -9.544850099  -11.422432220   27.465362154   16.042929934   16.042929934   -7.749903152   -9.627485274   17.837876880   17.837876880    1.000000000
  16   16.360897211   16.360897211   -3.769921622    1.892339501   -9.544850099  -11.422432220   27.465362154   16.042929934   16.042929934   -7.749903152   -9.627485274   17.837876880   17.837876880    1.000000000
 
       k =  0.500000  0.000000  0.000000 ik =   5 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -3.363046818   -3.363046818  -16.065747568   11.838180862   -9.581987888  -13.809554593    7.884640040   -5.924914553   -5.924914553   -9.013075181  -13.240641887   -5.356001847   -5.356001847    1.000000000
   2   -3.363046818   -3.363046818  -16.065747568   11.838180862   -9.581987888  -13.809554593    7.884640040   -5.924914553   -5.924914553   -9.013075181  -13.240641887   -5.356001847   -5.356001847    1.000000000
   3   -0.707274858   -0.707274858  -13.867984732   10.203433851   -9.090112027  -12.754662908    9.791021862   -2.963641046   -2.963641046   -8.456027927  -12.120578808   -2.329556946   -2.329556946    1.000000000
   4   -0.707274858   -0.707274858  -13.867984732   10.203433851   -9.090112027  -12.754662908    9.791021862   -2.963641046   -2.963641046   -8.456027927  -12.120578808   -2.329556946   -2.329556946    1.000000000
   5    5.056658076    5.056658076  -13.538588446    9.652090759   -9.670005262  -13.556502949   16.470572830    2.914069881    2.914069881   -8.557079321  -12.443577008    4.026995823    4.026995823    1.000000000
   6    5.056658076    5.056658076  -13.538588446    9.652090759   -9.670005262  -13.556502949   16.470572830    2.914069881    2.914069881   -8.557079321  -12.443577008    4.026995823    4.026995823    1.000000000
   7    5.088288518    5.088288518  -13.527872843    9.644049190   -9.667981051  -13.551804704   16.498851466    2.947046762    2.947046762   -8.567797179  -12.451620833    4.047230633    4.047230633    1.000000000
   8    5.088288518    5.088288518  -13.527872843    9.644049190   -9.667981051  -13.551804704   16.498851466    2.947046762    2.947046762   -8.567797179  -12.451620833    4.047230633    4.047230633    1.000000000
   9    7.800189171    7.800189171   -5.037736767    2.911035230   -9.126112005  -11.252813542   18.352337178    7.099523636    7.099523636   -7.988221389  -10.114922925    8.237414253    8.237414253    1.000000000
  10    7.800189171    7.800189171   -5.037736767    2.911035230   -9.126112005  -11.252813542   18.352337178    7.099523636    7.099523636   -7.988221389  -10.114922925    8.237414253    8.237414253    1.000000000
  11    9.587046911    9.587046911   -4.431172330    2.581860335   -8.729690054  -10.579002050   19.474283811    8.895281761    8.895281761   -7.568249804   -9.417561800   10.056722011   10.056722011    1.000000000
  12    9.587046911    9.587046911   -4.431172330    2.581860335   -8.729690054  -10.579002050   19.474283811    8.895281761    8.895281761   -7.568249804   -9.417561800   10.056722011   10.056722011    1.000000000
  13    9.601404866    9.601404866   -4.426382890    2.578405334   -8.725860553  -10.573838109   19.482741457    8.908903348    8.908903348   -7.554622538   -9.402600095   10.080141362   10.080141362    1.000000000
  14    9.601404866    9.601404866   -4.426382890    2.578405334   -8.725860553  -10.573838109   19.482741457    8.908903348    8.908903348   -7.554622538   -9.402600095   10.080141362   10.080141362    1.000000000
  15   13.996111838   13.996111838   -2.020345622    0.783154262   -7.361875508   -8.599066869   21.840256174   13.241189305   13.241189305   -6.385165483   -7.622356843   14.217899330   14.217899330    1.000000000
  16   13.996111838   13.996111838   -2.020345622    0.783154262   -7.361875508   -8.599066869   21.840256174   13.241189305   13.241189305   -6.385165483   -7.622356843   14.217899330   14.217899330    1.000000000
 
       k =  0.500000  0.000000  0.500000 ik =   6 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   1   -1.549907257   -1.549907257  -15.235200029   11.159736416   -9.579653024  -13.655116637    9.700171771   -3.954944866   -3.954944866   -8.900844175  -12.976307788   -3.276136017   -3.276136017    1.000000000
   2   -1.549907257   -1.549907257  -15.235200029   11.159736416   -9.579653024  -13.655116637    9.700171771   -3.954944866   -3.954944866   -8.900844175  -12.976307788   -3.276136017   -3.276136017    1.000000000
   3   -1.549907257   -1.549907257  -15.235200029   11.159736416   -9.579653024  -13.655116637    9.700171771   -3.954944866   -3.954944866   -8.900844175  -12.976307788   -3.276136017   -3.276136017    1.000000000
   4   -1.549907257   -1.549907257  -15.235200029   11.159736416   -9.579653024  -13.655116637    9.700171771   -3.954944866   -3.954944866   -8.900844175  -12.976307788   -3.276136017   -3.276136017    1.000000000
