# Breit Σ_xc comparison (eV).  std = sigSX + sigCOH (charge Σ_xc)
# screened = Σ^B from screened W^{ij}; unscr = Σ^B from bare V^{ij}
#  k    n     sigSX      sigCOH        std    SigB_scr   SigB_unscr   std+Bscr  std+Bunscr
   3   40   -14.36531     0.00000   -14.36531   -0.004615   -0.004615   -14.36992   -14.36992
   3   41   -14.75873     0.00000   -14.75873   -0.004285   -0.004285   -14.76302   -14.76302
   3   42   -13.64233     0.00000   -13.64233   -0.003223   -0.003223   -13.64556   -13.64556
   3   43   -14.21190     0.00000   -14.21190   -0.004762   -0.004762   -14.21666   -14.21666
   3   44   -14.64245     0.00000   -14.64245   -0.004542   -0.004542   -14.64699   -14.64699
   3   45   -13.53239     0.00000   -13.53239   -0.003229   -0.003229   -13.53562   -13.53562
   3   46   -14.26507     0.00000   -14.26507   -0.005361   -0.005361   -14.27044   -14.27044
   3   47   -13.64551     0.00000   -13.64551   -0.003329   -0.003329   -13.64884   -13.64884
   3   48   -15.94763     0.00000   -15.94763   -0.006927   -0.006927   -15.95455   -15.95455
   3   49   -13.69107     0.00000   -13.69107   -0.004211   -0.004211   -13.69528   -13.69528
   3   50   -13.38292     0.00000   -13.38292   -0.002232   -0.002232   -13.38515   -13.38515
   3   51   -13.35311     0.00000   -13.35311   -0.003466   -0.003466   -13.35658   -13.35658
   3   52   -13.42444     0.00000   -13.42444   -0.003164   -0.003164   -13.42760   -13.42760
   3   53   -13.07786     0.00000   -13.07786   -0.002584   -0.002584   -13.08044   -13.08044
   3   54   -13.63083     0.00000   -13.63083   -0.002936   -0.002936   -13.63377   -13.63377
   3   55   -13.00172     0.00000   -13.00172   -0.001917   -0.001917   -13.00364   -13.00364
   3   56   -13.90395     0.00000   -13.90395   -0.003154   -0.003154   -13.90710   -13.90710
   3   57   -14.74921     0.00000   -14.74921   -0.004366   -0.004366   -14.75358   -14.75358
   3   58   -12.71758     0.00000   -12.71758   -0.001558   -0.001558   -12.71914   -12.71914
