# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.00216810E+01  -9.59085502E+00   4.30826025E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.07074777E+00   1.30840210E+00   2.37654336E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     44  -8.19163073E+00  -7.21851634E+00   9.73114397E-01
     45  -8.23479843E+00  -7.25031367E+00   9.84484767E-01
     46  -8.27465122E+00  -7.28221075E+00   9.92440476E-01
     47  -8.31885739E+00  -7.31112604E+00   1.00773135E+00
     48  -8.36282369E+00  -7.33922319E+00   1.02360050E+00
     49  -8.40806710E+00  -7.36450624E+00   1.04356085E+00
     50  -8.45378295E+00  -7.39140654E+00   1.06237641E+00
     51  -8.48074842E+00  -7.41516477E+00   1.06558365E+00
     52  -8.50846756E+00  -7.44151712E+00   1.06695043E+00
     53  -8.53800329E+00  -7.46358410E+00   1.07441919E+00
     54  -8.56680219E+00  -7.48522240E+00   1.08157979E+00
     55  -8.58233151E+00  -7.50193546E+00   1.08039604E+00
     56  -8.59734941E+00  -7.51835590E+00   1.07899351E+00
     57  -8.61406834E+00  -7.53656412E+00   1.07750422E+00
     58  -8.63078948E+00  -7.55469551E+00   1.07609397E+00
     59  -8.64792834E+00  -7.57606871E+00   1.07185964E+00
     60  -8.66544975E+00  -7.59709297E+00   1.06835678E+00
     61  -8.68280865E+00  -7.61620241E+00   1.06660624E+00
     62  -8.69915164E+00  -7.63592884E+00   1.06322280E+00
     63  -8.71504212E+00  -7.65335037E+00   1.06169175E+00
     64  -8.73096563E+00  -7.67077177E+00   1.06019387E+00
     65  -8.74847696E+00  -7.69130097E+00   1.05717598E+00
     66  -8.76504280E+00  -7.71140178E+00   1.05364101E+00
     67  -8.78034433E+00  -7.72935061E+00   1.05099372E+00
     68  -8.79670271E+00  -7.74772250E+00   1.04898021E+00
# k =   0.500000   0.500000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -9.99657742E+00  -9.82515655E+00   1.71420875E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.06052999E+00   1.42530225E+00   3.64772262E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -2.99505596E-01  -2.55853985E-01   4.36516106E-02
      2  -6.04933705E-01  -5.04177277E-01   1.00756428E-01
      3  -8.80382894E-01  -7.50926814E-01   1.29456080E-01
      4  -1.14796540E+00  -1.00769440E+00   1.40270996E-01
      5  -1.51472935E+00  -1.10583931E+00   4.08890040E-01
      6  -1.86322858E+00  -1.21416012E+00   6.49068457E-01
